"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_1","TraesCS1A02G023100","TraesCS1A02G023000",433,0.67,0,"","",0
"Pair_10","TraesCS1A02G116600","TraesCS1A02G116500",209,0.5,0,"4v23 ","",0
"Pair_100","TraesCS1D02G141200","TraesCS1D02G141100",157,0.04,0.254621055721925,"","10v14 ",0
"Pair_1000","TraesCS7B02G350400","TraesCS7B02G350300",276,0.34,0,"4v23 ","4v23 ",1
"Pair_1001","TraesCS7B02G357000","TraesCS7B02G356900",633,0.35,0,"4v23 ","DH ",1
"Pair_1002","TraesCS7B02G396000","TraesCS7B02G395800",134,0.38,0,"","",0
"Pair_1003","TraesCS7B02G434000","TraesCS7B02G433900",366,-0.3,0,"","MS 4v23 DH ",0
"Pair_1004","TraesCS7B02G437400","TraesCS7B02G437300",769,0.87,0,"","",0
"Pair_1005","TraesCS7B02G441700","TraesCS7B02G441600",884,0.88,0,"","",0
"Pair_1006","TraesCS7B02G457600","TraesCS7B02G457500",201,0,0.94016178843338,"","",0
"Pair_1007","TraesCS7B02G457800","TraesCS7B02G457700",333,-0.02,0.679539999553867,"","",0
"Pair_1008","TraesCS7B02G458000","TraesCS7B02G457900",101,0.47,0,"","",0
"Pair_1009","TraesCS7B02G458500","TraesCS7B02G458400",392,-0.02,0.605329966129624,"","",0
"Pair_101","TraesCS1D02G152800","TraesCS1D02G152700",130,0.05,0.162740757729276,"","",0
"Pair_1010","TraesCS7B02G485700","TraesCS7B02G485600",498,0.65,0,"","",0
"Pair_1011","TraesCS7B02G487500","TraesCS7B02G487400",392,-0.01,0.776881710162272,"","",0
"Pair_1012","TraesCS7B02G487700","TraesCS7B02G487600",364,0.05,0.14891460889251,"","",0
"Pair_1013","TraesCS7B02G487900","TraesCS7B02G487800",201,-0.02,0.735993160280086,"","",0
"Pair_1014","TraesCS7D02G007700","TraesCS7D02G007600",868,0.47,0,"","",0
"Pair_1015","TraesCS7D02G014900","TraesCS7D02G014800",178,0.31,0,"4v23 ","4v23 ",1
"Pair_1016","TraesCS7D02G020800","TraesCS7D02G020700",463,0.92,0,"","",0
"Pair_1017","TraesCS7D02G032200","TraesCS7D02G032100",952,0.51,0,"","",0
"Pair_1018","TraesCS7D02G058900","TraesCS7D02G058800",150,0.29,0,"MS 4v23 ","",0
"Pair_1019","TraesCS7D02G062000","TraesCS7D02G061900",376,0.22,3.13489467485228e-12,"4v23 ","",0
"Pair_102","TraesCS1D02G163300","TraesCS1D02G163200",133,0.24,6.90536162358437e-14,"MS ","",0
"Pair_1020","TraesCS7D02G098700","TraesCS7D02G098600",344,0.22,8.06575887910234e-12,"","4v23 ",0
"Pair_1021","TraesCS7D02G106000","TraesCS7D02G105900",468,0.53,0,"4v23 ","4v23 ",1
"Pair_1022","TraesCS7D02G113300","TraesCS7D02G113200",120,0.52,0,"","4v23 ",0
"Pair_1023","TraesCS7D02G131100","TraesCS7D02G131000",163,0.53,0,"4v23 DH ","",0
"Pair_1024","TraesCS7D02G132000","TraesCS7D02G131900",162,0.49,0,"MS 4v23 DH ","4v23 ",3
"Pair_1025","TraesCS7D02G143000","TraesCS7D02G142900",405,0.03,0.522715717178584,"","4v23 DH ",0
"Pair_1026","TraesCS7D02G144600","TraesCS7D02G144500",901,0.74,0,"","",0
"Pair_1027","TraesCS7D02G156400","TraesCS7D02G156300",265,-0.06,0.0941280445072754,"MS 4v23 DH ","MS 4v23 ",6
"Pair_1028","TraesCS7D02G162500","TraesCS7D02G162400",142,0.65,0,"4v23 DH ","DH ",2
"Pair_1029","TraesCS7D02G203400","TraesCS7D02G203300",289,-0.4,0,"4v23 ","4v23 ",1
"Pair_103","TraesCS1D02G173600","TraesCS1D02G173500",205,0.08,0.0155368240652441,"4v23 DH ","MS ",2
"Pair_1030","TraesCS7D02G227000","TraesCS7D02G226900",190,0.1,0.00192694788017542,"4v23 DH ","",0
"Pair_1031","TraesCS7D02G238500","TraesCS7D02G238400",201,NA,NA,"","",0
"Pair_1032","TraesCS7D02G240000","TraesCS7D02G239900",459,0.01,0.891976781141136,"","",0
"Pair_1033","TraesCS7D02G249700","TraesCS7D02G249600",136,-0.14,2.45566838551322e-05,"","",0
"Pair_1034","TraesCS7D02G257200","TraesCS7D02G257100",365,0.05,0.156760923744042,"4v23 ","4v23 ",1
"Pair_1035","TraesCS7D02G264900","TraesCS7D02G264800",183,0.64,0,"MS 4v23 ","MS 4v23 DH ",6
"Pair_1036","TraesCS7D02G268700","TraesCS7D02G268600",192,0.59,0,"4v23 ","",0
"Pair_1037","TraesCS7D02G300700","TraesCS7D02G300600",388,-0.01,0.776917923267099,"","",0
"Pair_1038","TraesCS7D02G301600","TraesCS7D02G301500",130,0.01,0.861315720185897,"","",0
"Pair_1039","TraesCS7D02G308900","TraesCS7D02G308800",168,0.18,6.64781351922048e-09,"4v23 DH ","DH ",2
"Pair_104","TraesCS1D02G174800","TraesCS1D02G174700",140,0.44,0,"4v23 ","",0
"Pair_1040","TraesCS7D02G330500","TraesCS7D02G330400",493,0,0.958492039958749,"","",0
"Pair_1041","TraesCS7D02G345200","TraesCS7D02G345100",384,0.29,0,"4v23 ","4v23 DH ",2
"Pair_1042","TraesCS7D02G356300","TraesCS7D02G356200",713,0.25,4.99097238864723e-16,"","",0
"Pair_1043","TraesCS7D02G360500","TraesCS7D02G360400",149,0.25,2.95441763453156e-15,"4v23 DH ","4v23 DH ",4
"Pair_1044","TraesCS7D02G396000","TraesCS7D02G395900",310,0.38,0,"4v23 DH ","",0
"Pair_1045","TraesCS7D02G396700","TraesCS7D02G396600",542,0.35,0,"","",0
"Pair_1046","TraesCS7D02G402200","TraesCS7D02G402100",204,0.15,4.71279937726531e-06,"DH ","",0
"Pair_1047","TraesCS7D02G423600","TraesCS7D02G423500",277,0.5,0,"","",0
"Pair_1048","TraesCS7D02G443900","TraesCS7D02G443800",458,0.37,0,"4v23 ","4v23 ",1
"Pair_1049","TraesCS7D02G513100","TraesCS7D02G513200",189,0.88,0,"","",0
"Pair_105","TraesCS1D02G175600","TraesCS1D02G175500",493,0.28,0,"","",0
"Pair_1050","TraesCS7D02G528900","TraesCS7D02G528800",222,0.22,1.75874296399833e-12,"4v23 ","",0
"Pair_106","TraesCS1D02G179700","TraesCS1D02G179500",229,-0.01,0.92725518299975,"","",0
"Pair_107","TraesCS1D02G179800","TraesCS1D02G179600",433,0,0.967765005847557,"","",0
"Pair_108","TraesCS1D02G180800","TraesCS1D02G180700",660,-0.01,0.89012235507985,"","",0
"Pair_109","TraesCS1D02G182600","TraesCS1D02G182500",484,0.05,0.146807755659371,"","4v23 ",0
"Pair_11","TraesCS1A02G130400","TraesCS1A02G130300",101,0,0.980228984729355,"","",0
"Pair_110","TraesCS1D02G182900","TraesCS1D02G182800",103,-0.01,0.852708859631208,"","",0
