"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"TraesCS1A02G023000",-1,"1A","",11418293,11423385,11423385,433,"Pair_1"
"TraesCS1A02G023100",1,"1A","",11423819,11425579,11423819,NA,"Pair_1"
"TraesCS1A02G040400",-1,"1A","PHIP1 [Source:Projected from Arabidopsis thaliana (AT3G55340) UniProtKB/TrEMBL;Acc:A0A384KSV0]",22287727,22291553,22291553,172,"Pair_2"
"TraesCS1A02G040500",1,"1A","",22291726,22293776,22291726,NA,"Pair_2"
"TraesCS1A02G041400",-1,"1A","",22656561,22657221,22657221,472,"Pair_3"
"TraesCS1A02G041500",1,"1A","",22657694,22657945,22657694,NA,"Pair_3"
"TraesCS1A02G041900",-1,"1A","",22789173,22791342,22791342,614,"Pair_4"
"TraesCS1A02G042000",1,"1A","",22791957,22792505,22791957,NA,"Pair_4"
"TraesCS1A02G054900",-1,"1A","transcription factor IIIA [Source:Projected from Arabidopsis thaliana (AT1G72050) TAIR;Acc:AT1G72050]",36267235,36271054,36271054,270,"Pair_5"
"TraesCS1A02G055000",1,"1A","Thylakoid membrane protein TERC, chloroplastic [Source:Projected from Arabidopsis thaliana (AT5G12130) UniProtKB/Swiss-Prot;Acc:F4JZG9]",36271325,36278335,36271325,NA,"Pair_5"
"TraesCS1A02G063500",-1,"1A","",44406439,44407943,44407943,157,"Pair_6"
"TraesCS1A02G063600",1,"1A","Ubiquitin-conjugating enzyme 37 [Source:Projected from Arabidopsis thaliana (AT3G24515) UniProtKB/TrEMBL;Acc:A0A1I9LLL0]",44408101,44412013,44408101,NA,"Pair_6"
"TraesCS1A02G076700",-1,"1A","",59507512,59510257,59510257,545,"Pair_7"
"TraesCS1A02G076800",1,"1A","",59510803,59511117,59510803,NA,"Pair_7"
"TraesCS1A02G086800",-1,"1A","",73312930,73322282,73322282,225,"Pair_8"
"TraesCS1A02G086900",1,"1A","",73322508,73330054,73322508,NA,"Pair_8"
"TraesCS1A02G098000",-1,"1A","",94664426,94664784,94664784,129,"Pair_9"
"TraesCS1A02G098100",1,"1A","",94664914,94665147,94664914,NA,"Pair_9"
"TraesCS1A02G116500",-1,"1A","",123549115,123552588,123552588,209,"Pair_10"
"TraesCS1A02G116600",1,"1A","",123552798,123554818,123552798,NA,"Pair_10"
"TraesCS1A02G130300",-1,"1A","",168449054,168449275,168449275,101,"Pair_11"
"TraesCS1A02G130400",1,"1A","Protein PsbN [Source:UniProtKB/TrEMBL;Acc:A0A341NIM0]",168449377,168449508,168449377,NA,"Pair_11"
"TraesCS1A02G135800",-1,"1A","",212017043,212018086,212018086,340,"Pair_12"
"TraesCS1A02G135900",1,"1A","",212018427,212020840,212018427,NA,"Pair_12"
"TraesCS1A02G139800",-1,"1A","",237742797,237744215,237744215,408,"Pair_13"
"TraesCS1A02G139900",1,"1A","",237744624,237746433,237744624,NA,"Pair_13"
"TraesCS1A02G167300",-1,"1A","",300105516,300106916,300106916,198,"Pair_14"
"TraesCS1A02G167400",1,"1A","",300107115,300111644,300107115,NA,"Pair_14"
"TraesCS1A02G179100",-1,"1A","",323894492,323894761,323894761,387,"Pair_15"
"TraesCS1A02G179200",1,"1A","",323895149,323895469,323895149,NA,"Pair_15"
"TraesCS1A02G181500",-1,"1A","CB5-E [Source:Projected from Arabidopsis thaliana (AT5G53560) UniProtKB/TrEMBL;Acc:A0A178USU5]",327529209,327531391,327531391,225,"Pair_16"
"TraesCS1A02G181600",1,"1A","",327531617,327537648,327531617,NA,"Pair_16"
"TraesCS1A02G186300",-1,"1A","",337653975,337655149,337655149,217,"Pair_17"
"TraesCS1A02G186400",1,"1A","",337655367,337656616,337655367,NA,"Pair_17"
"TraesCS1A02G206400",-1,"1A","",368799977,368802673,368802673,291,"Pair_18"
"TraesCS1A02G206500",1,"1A","",368802965,368803839,368802965,NA,"Pair_18"
"TraesCS1A02G211600",-1,"1A","",374217713,374219255,374219255,851,"Pair_19"
"TraesCS1A02G211700",1,"1A","",374220107,374221358,374220107,NA,"Pair_19"
"TraesCS1A02G219800",-1,"1A","",388833592,388837249,388837249,160,"Pair_20"
"TraesCS1A02G219900",1,"1A","",388837410,388843270,388837410,NA,"Pair_20"
"TraesCS1A02G229900",-1,"1A","",402800675,402805290,402805290,291,"Pair_21"
"TraesCS1A02G230000",1,"1A","Chaperone protein dnaJ 49 [Source:Projected from Arabidopsis thaliana (AT5G49060) UniProtKB/Swiss-Prot;Acc:Q9FH28]",402805582,402809242,402805582,NA,"Pair_21"
"TraesCS1A02G236400",-1,"1A","",418933738,418936268,418936268,375,"Pair_22"
"TraesCS1A02G236500",1,"1A","",418936644,418939887,418936644,NA,"Pair_22"
"TraesCS1A02G250900",-1,"1A","DNA-directed RNA polymerase II subunit 7 [Source:Projected from Arabidopsis thaliana (AT5G59180) UniProtKB/Swiss-Prot;Acc:P38421]",442556951,442563195,442563195,316,"Pair_23"
"TraesCS1A02G251000",1,"1A","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase, chloroplastic [Source:UniProtKB/TrEMBL;Acc:W4ZNI2]",442563512,442567349,442563512,NA,"Pair_23"
"TraesCS1A02G264100",-1,"1A","",459514099,459523796,459523796,390,"Pair_24"
"TraesCS1A02G264200",1,"1A","",459524187,459527766,459524187,NA,"Pair_24"
"TraesCS1A02G282400",-1,"1A","",480599130,480602337,480602337,514,"Pair_25"
"TraesCS1A02G282500",1,"1A","",480602852,480604031,480602852,NA,"Pair_25"
"TraesCS1A02G288100",-1,"1A","",485337870,485340350,485340350,218,"Pair_26"
"TraesCS1A02G288200",1,"1A","",485340569,485343951,485340569,NA,"Pair_26"
"TraesCS1A02G307300",-1,"1A","",498806535,498809142,498809142,193,"Pair_27"
"TraesCS1A02G307400",1,"1A","",498809336,498811616,498809336,NA,"Pair_27"
"TraesCS1A02G347800",-1,"1A","",533461442,533462234,533462234,168,"Pair_28"
"TraesCS1A02G347900",1,"1A","",533462403,533467428,533462403,NA,"Pair_28"
"TraesCS1A02G349000",-1,"1A","",534258973,534262100,534262100,261,"Pair_29"
"TraesCS1A02G349100",1,"1A","ER lumen protein-retaining receptor [Source:UniProtKB/TrEMBL;Acc:W4ZSP2]",534262362,534265794,534262362,NA,"Pair_29"
"TraesCS1A02G368200",-1,"1A","",546230907,546231815,546231815,569,"Pair_30"
"TraesCS1A02G368300",1,"1A","",546232385,546232780,546232385,NA,"Pair_30"
"TraesCS1A02G389000",-1,"1A","",557152264,557154180,557154180,162,"Pair_31"
"TraesCS1A02G389100",1,"1A","",557154343,557156185,557154343,NA,"Pair_31"
"TraesCS1A02G397000",-1,"1A","",562908419,562912709,562912709,142,"Pair_32"
"TraesCS1A02G397100",1,"1A","",562912852,562915996,562912852,NA,"Pair_32"
"TraesCS1A02G398400",-1,"1A","",563684317,563686065,563686065,320,"Pair_33"
"TraesCS1A02G398500",1,"1A","",563686386,563687850,563686386,NA,"Pair_33"
"TraesCS1A02G406400",-1,"1A","",569132212,569132565,569132565,561,"Pair_34"
"TraesCS1A02G406500",1,"1A","",569133127,569134025,569133127,NA,"Pair_34"
"TraesCS1A02G417200",-1,"1A","",575244998,575245571,575245571,721,"Pair_35"
"TraesCS1A02G417300",1,"1A","",575246293,575248553,575246293,NA,"Pair_35"
"TraesCS1A02G443600",-1,"1A","",591948406,591953951,591953951,240,"Pair_36"
"TraesCS1A02G443700",1,"1A","",591954192,591955918,591954192,NA,"Pair_36"
"TraesCS1B02G014400",-1,"1B","",7032756,7039544,7039544,700,"Pair_37"
"TraesCS1B02G014500",1,"1B","",7040245,7047567,7040245,NA,"Pair_37"
"TraesCS1B02G033900",-1,"1B","",16464518,16464769,16464769,726,"Pair_38"
"TraesCS1B02G034000",1,"1B","",16465496,16465732,16465496,NA,"Pair_38"
"TraesCS1B02G071700",-1,"1B","transcription factor IIIA [Source:Projected from Arabidopsis thaliana (AT1G72050) TAIR;Acc:AT1G72050]",56879308,56883044,56883044,194,"Pair_39"
"TraesCS1B02G071800",1,"1B","Thylakoid membrane protein TERC, chloroplastic [Source:Projected from Arabidopsis thaliana (AT5G12130) UniProtKB/Swiss-Prot;Acc:F4JZG9]",56883239,56889796,56883239,NA,"Pair_39"
"TraesCS1B02G081400",-1,"1B","",63958250,63960574,63960574,125,"Pair_40"
"TraesCS1B02G081500",1,"1B","Ubiquitin-conjugating enzyme 37 [Source:Projected from Arabidopsis thaliana (AT3G24515) UniProtKB/TrEMBL;Acc:A0A1I9LLL0]",63960700,63964607,63960700,NA,"Pair_40"
"TraesCS1B02G101100",-1,"1B","",111025254,111026767,111026767,569,"Pair_41"
"TraesCS1B02G101200",1,"1B","",111027337,111033021,111027337,NA,"Pair_41"
"TraesCS1B02G105200",-1,"1B","",117169811,117179200,117179200,249,"Pair_42"
"TraesCS1B02G105300",1,"1B","",117179450,117189109,117179450,NA,"Pair_42"
"TraesCS1B02G115400",-1,"1B","",135932883,135939885,135939885,208,"Pair_43"
"TraesCS1B02G115500",1,"1B","",135940094,135958683,135940094,NA,"Pair_43"
"TraesCS1B02G117100",-1,"1B","rRNA N-glycosidase [Source:UniProtKB/TrEMBL;Acc:A0A341P059]",137443632,137444312,137444312,881,"Pair_44"
"TraesCS1B02G117200",1,"1B","",137445194,137448305,137445194,NA,"Pair_44"
"TraesCS1B02G136500",-1,"1B","",174598576,174601773,174601773,120,"Pair_45"
"TraesCS1B02G136600",1,"1B","",174601894,174604413,174601894,NA,"Pair_45"
"TraesCS1B02G159600",-1,"1B","",271888383,271904947,271904947,299,"Pair_46"
