Gene stable ID,GO term name,GO term definition,GO term accession,GO term evidence code,GO domain
TraesCS1A02G066521,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G066600,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G067462,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G067472,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G072982,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G072986,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G079100,lipid metabolic process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.",GO:0006629,IEA,biological_process
TraesCS1A02G079100,O-acyltransferase activity,Catalysis of the transfer of an acyl group to an oxygen atom on the acceptor molecule.,GO:0008374,IEA,molecular_function
TraesCS1A02G079200,,,,,
TraesCS1A02G103013,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G103014,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G103019,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G127100,DNA-templated transcription,The synthesis of an RNA transcript from a DNA template.,GO:0006351,IEA,biological_process
TraesCS1A02G127100,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,GO:0003677,IEA,molecular_function
TraesCS1A02G127100,DNA-directed 5'-3' RNA polymerase activity,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",GO:0003899,IEA,molecular_function
TraesCS1A02G127100,,,,,
TraesCS1A02G127200,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G127200,iron ion binding,Binding to an iron (Fe) ion.,GO:0005506,IEA,molecular_function
TraesCS1A02G127200,electron transfer activity,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,GO:0009055,IEA,molecular_function
TraesCS1A02G127200,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G127200,integral component of thylakoid membrane,The component of the thylakoid membrane consisting of the gene products having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0031361,IEA,cellular_component
TraesCS1A02G127300,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G127300,iron ion binding,Binding to an iron (Fe) ion.,GO:0005506,IEA,molecular_function
TraesCS1A02G127300,electron transfer activity,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,GO:0009055,IEA,molecular_function
TraesCS1A02G127300,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G127300,integral component of thylakoid membrane,The component of the thylakoid membrane consisting of the gene products having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0031361,IEA,cellular_component
TraesCS1A02G140200,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G140200,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G140200,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",GO:0005840,IEA,cellular_component
TraesCS1A02G140200,small ribosomal subunit,The smaller of the two subunits of a ribosome.,GO:0015935,IEA,cellular_component
TraesCS1A02G140300,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G140300,respirasome,"The protein complexes that form the electron transport system (the respiratory chain), associated with a cell membrane, usually the plasma membrane (in prokaryotes) or the inner mitochondrial membrane (on eukaryotes). The respiratory chain complexes transfer electrons from an electron donor to an electron acceptor and are associated with a proton pump to create a transmembrane electrochemical gradient.",GO:0070469,IEA,cellular_component
