"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"POPTR_001G002000v3",-1,"1","hypothetical protein",128115,132020,132020,579,"Pair_1"
"POPTR_001G002100v3",1,"1","hypothetical protein",132600,139596,132600,NA,"Pair_1"
"POPTR_001G002800v3",-1,"1","hypothetical protein",172150,174216,174216,272,"Pair_2"
"POPTR_001G002900v3",1,"1","hypothetical protein",174489,176817,174489,NA,"Pair_2"
"POPTR_001G004200v3",-1,"1","hypothetical protein",259024,275262,275262,427,"Pair_3"
"POPTR_001G004300v3",1,"1","hypothetical protein",275014,280227,275690,NA,"Pair_3"
"POPTR_001G009400v3",-1,"1","hypothetical protein",613269,613700,613700,762,"Pair_4"
"POPTR_001G009500v3",1,"1","hypothetical protein",614463,615287,614463,NA,"Pair_4"
"POPTR_001G024300v3",-1,"1","hypothetical protein",1824199,1827030,1827030,883,"Pair_5"
"POPTR_001G024400v3",1,"1","hypothetical protein",1827914,1829765,1827914,NA,"Pair_5"
"POPTR_001G025500v3",-1,"1","DNA-directed RNA polymerase V subunit 5C [Source:Projected from Arabidopsis thaliana (AT3G54490) UniProtKB/Swiss-Prot;Acc:Q9M1H8]",1888762,1891351,1891351,875,"Pair_6"
"POPTR_001G025600v3",1,"1","hypothetical protein",1892227,1895809,1892227,NA,"Pair_6"
"POPTR_001G029000v3",-1,"1","hypothetical protein",2140798,2142680,2142680,122,"Pair_7"
"POPTR_001G029200v3",1,"1","hypothetical protein",2142803,2143088,2142803,NA,"Pair_7"
"POPTR_001G031600v3",-1,"1","hypothetical protein",2323118,2324299,2324299,285,"Pair_8"
"POPTR_001G031700v3",1,"1","hypothetical protein",2324585,2335177,2324585,NA,"Pair_8"
"POPTR_001G035000v3",-1,"1","hypothetical protein",2510558,2513763,2513763,688,"Pair_9"
"POPTR_001G035100v3",1,"1","hypothetical protein",2514452,2515410,2514452,NA,"Pair_9"
"POPTR_001G035600v3",-1,"1","hypothetical protein",2530139,2531555,2531555,559,"Pair_10"
"POPTR_001G035700v3",1,"1","SAC3 family protein C [Source:Projected from Arabidopsis thaliana (AT3G54380) UniProtKB/Swiss-Prot;Acc:Q67XV2]",2532115,2537208,2532115,NA,"Pair_10"
"POPTR_001G037500v3",-1,"1","hypothetical protein",2653675,2654721,2654721,204,"Pair_11"
"POPTR_001G037600v3",1,"1","hypothetical protein",2654926,2655450,2654926,NA,"Pair_11"
"POPTR_001G043300v3",-1,"1","hypothetical protein",3141287,3145737,3145737,114,"Pair_12"
"POPTR_001G043400v3",1,"1","hypothetical protein",3145852,3149656,3145852,NA,"Pair_12"
"POPTR_001G047300v3",-1,"1","hypothetical protein",3512574,3513450,3513450,420,"Pair_13"
"POPTR_001G047400v3",1,"1","hypothetical protein",3513871,3517663,3513871,NA,"Pair_13"
"POPTR_001G059200v3",-1,"1","hypothetical protein",4559071,4559656,4559656,271,"Pair_14"
"POPTR_001G059300v3",1,"1","hypothetical protein",4559928,4561290,4559928,NA,"Pair_14"
"POPTR_001G063500v3",-1,"1","hypothetical protein",5014847,5015658,5015658,415,"Pair_15"
"POPTR_001G063600v3",1,"1","hypothetical protein",5016074,5017210,5016074,NA,"Pair_15"
"POPTR_001G077600v3",-1,"1","hypothetical protein",6153677,6155184,6155184,610,"Pair_16"
"POPTR_001G077800v3",1,"1","hypothetical protein",6155795,6156431,6155795,NA,"Pair_16"
"POPTR_001G081600v3",-1,"1","hypothetical protein",6447806,6455326,6455326,882,"Pair_17"
"POPTR_001G081800v3",1,"1","hypothetical protein",6456209,6456729,6456209,NA,"Pair_17"
"POPTR_001G086500v3",-1,"1","hypothetical protein",6841441,6842028,6842028,563,"Pair_18"
"POPTR_001G086600v3",1,"1","hypothetical protein",6842592,6846972,6842592,NA,"Pair_18"
"POPTR_001G089900v3",-1,"1","hypothetical protein",7075232,7084110,7084110,810,"Pair_19"
"POPTR_001G090000v3",1,"1","hypothetical protein",7084921,7086087,7084921,NA,"Pair_19"
"POPTR_001G114200v3",-1,"1","hypothetical protein",9138789,9140003,9140003,787,"Pair_20"
"POPTR_001G114300v3",1,"1","SLAC1 [Source:Projected from Arabidopsis thaliana (AT1G12480) UniProtKB/TrEMBL;Acc:A0A178WLC1]",9140791,9142845,9140791,NA,"Pair_20"
"POPTR_001G124600v3",-1,"1","hypothetical protein",10130458,10130673,10130673,484,"Pair_21"
"POPTR_001G124700v3",1,"1","hypothetical protein",10131158,10132629,10131158,NA,"Pair_21"
"POPTR_001G135100v3",-1,"1","hypothetical protein",10846872,10847971,10847971,559,"Pair_22"
"POPTR_001G135200v3",1,"1","hypothetical protein",10848531,10853305,10848531,NA,"Pair_22"
"POPTR_001G136800v3",-1,"1","hypothetical protein",10993592,10996832,10996832,312,"Pair_23"
"POPTR_001G136900v3",1,"1","hypothetical protein",10997145,11000609,10997145,NA,"Pair_23"
"POPTR_001G137300v3",-1,"1","hypothetical protein",11013679,11014410,11014410,375,"Pair_24"
"POPTR_001G137400v3",1,"1","hypothetical protein",11014786,11016090,11014786,NA,"Pair_24"
"POPTR_001G138900v3",-1,"1","hypothetical protein",11152850,11157982,11155911,418,"Pair_25"
"POPTR_001G139000v3",1,"1","hypothetical protein",11156330,11157199,11156330,NA,"Pair_25"
"POPTR_001G138900v3",-1,"1","hypothetical protein",11152850,11157982,11157982,921,"Pair_26"
"POPTR_001G139100v3",1,"1","hypothetical protein",11158904,11161949,11158904,NA,"Pair_26"
"POPTR_001G178100v3",-1,"1","DNA-repair protein XRCC1 [Source:Projected from Arabidopsis thaliana (AT1G80420) UniProtKB/Swiss-Prot;Acc:Q24JK4]",15351447,15354928,15354928,298,"Pair_27"
"POPTR_001G178200v3",1,"1","hypothetical protein",15355227,15360830,15355227,NA,"Pair_27"
"POPTR_001G178600v3",-1,"1","hypothetical protein",15382059,15382405,15382405,395,"Pair_28"
"POPTR_001G178700v3",1,"1","hypothetical protein",15382801,15384798,15382801,NA,"Pair_28"
"POPTR_001G185200v3",-1,"1","hypothetical protein",16208028,16208793,16208793,721,"Pair_29"
"POPTR_001G185300v3",1,"1","Probable plastidic glucose transporter 3 [Source:Projected from Arabidopsis thaliana (AT1G79820) UniProtKB/Swiss-Prot;Acc:Q2V4B9]",16209515,16217886,16209515,NA,"Pair_29"
"POPTR_001G187700v3",-1,"1","hypothetical protein",16594525,16596114,16596114,693,"Pair_30"
"POPTR_001G187800v3",1,"1","hypothetical protein",16596808,16597556,16596808,NA,"Pair_30"
"POPTR_001G189600v3",-1,"1","hypothetical protein",16932808,16933371,16933371,993,"Pair_31"
"POPTR_001G189700v3",1,"1","hypothetical protein",16934365,16940731,16934365,NA,"Pair_31"
"POPTR_001G196600v3",-1,"1","hypothetical protein",18691458,18698104,18698104,215,"Pair_32"
"POPTR_001G196700v3",1,"1","hypothetical protein",18698320,18699760,18698320,NA,"Pair_32"
"POPTR_001G198600v3",-1,"1","hypothetical protein",19215881,19220643,19220643,713,"Pair_33"
"POPTR_001G198700v3",1,"1","hypothetical protein",19221357,19225794,19221357,NA,"Pair_33"
"POPTR_001G208000v3",-1,"1","hypothetical protein",20856525,20861958,20861958,950,"Pair_34"
"POPTR_001G208100v3",1,"1","hypothetical protein",20862909,20863375,20862909,NA,"Pair_34"
"POPTR_001G225000v3",-1,"1","hypothetical protein",23570706,23572736,23572736,435,"Pair_35"
"POPTR_001G225100v3",1,"1","hypothetical protein",23573172,23579453,23573172,NA,"Pair_35"
"POPTR_001G228900v3",-1,"1","hypothetical protein",24085756,24085935,24085935,691,"Pair_36"
"POPTR_001G229000v3",1,"1","hypothetical protein",24086627,24092095,24086627,NA,"Pair_36"
"POPTR_001G230200v3",-1,"1","hypothetical protein",24222256,24226199,24226199,835,"Pair_37"
"POPTR_001G230400v3",1,"1","hypothetical protein",24227035,24227308,24227035,NA,"Pair_37"
"POPTR_001G234800v3",-1,"1","hypothetical protein",24674970,24680029,24680029,679,"Pair_38"
"POPTR_001G234900v3",1,"1","hypothetical protein",24680709,24683599,24680709,NA,"Pair_38"
"POPTR_001G246500v3",-1,"1","hypothetical protein",25713972,25716695,25716401,139,"Pair_39"
"POPTR_001G246600v3",1,"1","RNApolymerase 14 kDa subunit [Source:Projected from Arabidopsis thaliana (AT2G29540) UniProtKB/TrEMBL;Acc:A8MRK9]",25716541,25717990,25716541,NA,"Pair_39"
"POPTR_001G257100v3",-1,"1","hypothetical protein",26667674,26672003,26672003,479,"Pair_40"
"POPTR_001G257200v3",1,"1","hypothetical protein",26672483,26673018,26672483,NA,"Pair_40"
"POPTR_001G258900v3",-1,"1","hypothetical protein",26796907,26799906,26799906,145,"Pair_41"
"POPTR_001G259000v3",1,"1","hypothetical protein",26800052,26805523,26800052,NA,"Pair_41"
"POPTR_001G263000v3",-1,"1","hypothetical protein",27177812,27179871,27179261,231,"Pair_42"
"POPTR_001G263100v3",1,"1","hypothetical protein",27179493,27179720,27179493,NA,"Pair_42"
