Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
Solyc12g042120.2,1,12,,58081506,58082579,58081506
Solyc01g067380.3,-1,1,,75655569,75662161,75662161
Solyc05g006260.1,1,5,,924757,924939,924757
Solyc12g019340.1,-1,12,,10002359,10002541,10002541
Solyc12g097070.2,-1,12,,66691651,66696280,66696280
Solyc05g015710.3,-1,5,,11754031,11756962,11756962
Solyc09g057715.1,-1,9,,50508382,50508936,50508936
Solyc06g072480.1,-1,6,PETROSELINUM [Source:UniProtKB/TrEMBL;Acc:B2Y2G9],44844116,44845722,44845722
Solyc10g008210.3,1,10,,2314292,2322456,2314292
Solyc12g009745.1,1,12,,2973016,2975923,2973016
Solyc07g006800.1,-1,7,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:K4CBF1],1645974,1647335,1647335
Solyc09g009280.1,-1,9,,2659415,2660299,2660299
Solyc06g005070.2,1,6,,54144,58359,54144
Solyc11g066760.2,1,11,,52840987,52853166,52840987
Solyc06g071540.3,1,6,,44186693,44190774,44186693
Solyc09g065150.1,1,9,,63296497,63296646,63296497
Solyc10g081230.2,-1,10,Presenilin [Source:Projected from Arabidopsis thaliana (AT1G08700) UniProtKB/TrEMBL;Acc:Q0V7S4],62465631,62466973,62466973
Solyc01g106390.3,-1,1,Glutamyl-tRNA reductase [Source:UniProtKB/TrEMBL;Acc:K4B2K7],94199159,94201939,94201939
Solyc09g007080.3,1,9,,727392,734812,727392
Solyc11g066500.2,1,11,,52551552,52559058,52551552
Solyc01g102637.1,-1,1,,91264659,91265729,91265729
Solyc03g060510.3,1,3,,32380013,32385435,32380013
Solyc11g066460.1,1,11,,52506101,52506751,52506101
Solyc06g082800.3,-1,6,,48512922,48519345,48519345
Solyc01g105290.3,1,1,,93407977,93410345,93407977
Solyc08g062965.1,1,8,,52447036,52461054,52447036
Solyc03g058900.2,-1,3,,28817006,28817900,28817900
Solyc11g011542.1,1,11,,4601366,4609861,4601366
Solyc03g007860.1,1,3,,2393136,2393693,2393136
Solyc06g048620.3,1,6,,31458238,31463318,31458238
Solyc03g006490.3,1,3,,1074637,1077475,1074637
Solyc11g017373.1,-1,11,,8277167,8279971,8279971
Solyc09g060100.3,1,9,,57836946,57847059,57836946
Solyc03g006950.2,1,3,,1514323,1517979,1514323
Solyc03g114300.3,1,3,"4-hydroxybenzoate polyprenyltransferase, mitochondrial [Source:Projected from Arabidopsis thaliana (AT4G23660) UniProtKB/TrEMBL;Acc:F4JPA9]",65793064,65799791,65793064
Solyc02g011755.1,-1,2,,14134952,14135752,14135752
Solyc11g010105.1,-1,11,,3230109,3233719,3233719
Solyc09g092080.3,1,9,,71708110,71710785,71708110
Solyc05g055160.3,-1,5,,65770921,65775046,65775046
Solyc06g053780.3,1,6,,36724978,36729993,36724978
Solyc07g055920.3,1,7,MADS-box transcription factor ARLEQUIN [Source:UniProtKB/TrEMBL;Acc:E9JUM2],63971953,63981793,63971953
Solyc02g062040.3,-1,2,,34158446,34161123,34161123
Solyc05g046390.3,-1,5,,59666171,59671106,59671106
Solyc09g042300.2,-1,9,,22990864,22994523,22994523
Solyc03g044600.2,1,3,,10197582,10199853,10197582
Solyc11g067270.1,1,11,Acylsugar acyltransferase 3 [Source:UniProtKB/Swiss-Prot;Acc:K4D9Y4],53307619,53308911,53307619
Solyc09g083370.3,-1,9,,69448264,69451036,69451036
Solyc09g018235.1,-1,9,,13776726,13777600,13777600
Solyc03g115845.1,-1,3,,66920125,66921098,66921098
Solyc07g065280.3,-1,7,,67234914,67236098,67236098
Solyc10g018885.1,-1,10,,10814134,10814616,10814616
Solyc10g051050.2,1,10,,51369427,51372284,51369427
Solyc03g007680.3,1,3,,2206016,2210936,2206016
Solyc03g115800.1,1,3,,66878668,66879948,66878668
Solyc05g005910.3,-1,5,,698072,700223,700223
Solyc07g032300.1,-1,7,,37349854,37350066,37350066
Solyc01g091860.3,-1,1,,85271194,85279614,85279614
