Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
Zm00001eb093920,-1,2,Zm00001e009262,156072875,156074158,156074158
Zm00001eb033650,1,1,Zm00001e003412,186877561,186880289,186877561
Zm00001eb392700,1,9,Zm00001e038001,127296607,127301665,127296607
Zm00001eb392700,1,9,Zm00001e038001,127296607,127301665,127296654
Zm00001eb392700,1,9,Zm00001e038001,127296607,127301665,127296653
Zm00001eb166650,1,4,Zm00001e021153,6171666,6172835,6171666
Zm00001eb305300,1,7,Zm00001e033306,32405635,32407824,32405635
Zm00001eb181300,1,4,Zm00001e022638,108940762,108941892,108940762
Zm00001eb298920,-1,7,Zm00001e032725,2624151,2624891,2624891
Zm00001eb229510,1,5,Zm00001e013413,69603817,69608784,69603817
Zm00001eb031900,1,1,Zm00001e003250,178428605,178432791,178428605
Zm00001eb023090,-1,1,Zm00001e002305,90095644,90104405,90100828
Zm00001eb023090,-1,1,Zm00001e002305,90095644,90104405,90104405
Zm00001eb049510,1,1,Zm00001e106782,253178602,253180512,253178602
Zm00001eb386450,1,9,Zm00001e037425,96090984,96097630,96090984
Zm00001eb211220,1,5,Zm00001e011700,2032019,2037273,2032342
Zm00001eb211220,1,5,Zm00001e011700,2032019,2037273,2032019
Zm00001eb162110,1,3,Zm00001e020701,231207450,231211862,231207450
Zm00001eb412860,-1,10,Zm00001e155998,55129767,55130333,55130333
Zm00001eb348740,-1,8,Zm00001e027001,103638731,103644463,103644463
Zm00001eb348740,-1,8,Zm00001e027001,103638731,103644463,103644458
Zm00001eb272340,-1,6,Zm00001e147675,93667741,93670136,93670136
Zm00001eb154470,1,3,Zm00001e019933,206895401,206901910,206895401
Zm00001eb188380,-1,4,Zm00001e023327,165133856,165135986,165135986
Zm00001eb359500,-1,8,Zm00001e027991,151990128,151992229,151992229
Zm00001eb239740,1,5,Zm00001e014443,155919759,155923825,155919759
Zm00001eb128470,1,3,Zm00001e017335,41318181,41328796,41318181
Zm00001eb411020,1,10,Zm00001e039763,30076329,30079924,30076329
Zm00001eb334780,-1,8,Zm00001e025690,10442562,10444619,10444619
Zm00001eb332090,1,7,Zm00001e035999,185400814,185403407,185400952
Zm00001eb332090,1,7,Zm00001e035999,185400814,185403407,185400814
Zm00001eb134000,-1,3,Zm00001e017899,106344337,106348003,106347850
Zm00001eb134000,-1,3,Zm00001e017899,106344337,106348003,106348003
Zm00001eb097490,1,2,Zm00001e119827,176913731,176914732,176913731
Zm00001eb114770,-1,2,Zm00001e011271,234478959,234482644,234482644
Zm00001eb201780,-1,4,Zm00001e114223,217133927,217136807,217136807
Zm00001eb190140,1,4,Zm00001e023476,171958543,171960863,171958543
Zm00001eb030800,1,1,Zm00001e003129,170825631,170827876,170825631
Zm00001eb352390,-1,8,Zm00001e027334,122772542,122776340,122776336
Zm00001eb352390,-1,8,Zm00001e027334,122772542,122776340,122776340
Zm00001eb000340,1,1,Zm00001e000031,1483183,1523873,1483183
Zm00001eb376600,-1,9,Zm00001e036466,20445936,20450128,20449893
Zm00001eb376600,-1,9,Zm00001e036466,20445936,20450128,20450128
Zm00001eb376600,-1,9,Zm00001e036466,20445936,20450128,20449665
Zm00001eb238510,-1,5,Zm00001e014314,146327688,146329025,146329025
Zm00001eb206580,-1,4,Zm00001e114878,243367962,243369044,243369044
Zm00001eb281220,1,6,Zm00001e148817,131783094,131783417,131783094
Zm00001eb262150,1,6,Zm00001e144612,16954564,16958288,16954564
Zm00001eb328760,1,7,Zm00001e035667,177792570,177795202,177792570
Zm00001eb031980,-1,1,Zm00001e003257,178791087,178794983,178794983
Zm00001eb092870,-1,2,Zm00001e009156,149010625,149013876,149013574
Zm00001eb092870,-1,2,Zm00001e009156,149010625,149013876,149013876
Zm00001eb403560,1,9,Zm00001e039029,159913515,159919449,159913515
Zm00001eb403560,1,9,Zm00001e039029,159913515,159919449,159913622
Zm00001eb046830,-1,1,Zm00001e106477,241231196,241233325,241233325
Zm00001eb326510,-1,7,Zm00001e035454,171834719,171837378,171837378
Zm00001eb370040,-1,8,Zm00001e028968,179031014,179033607,179033607
Zm00001eb370040,-1,8,Zm00001e028968,179031014,179033607,179033571
Zm00001eb034110,-1,1,Zm00001e003456,188349225,188349674,188349674
Zm00001eb158540,-1,3,Zm00001e127649,220181855,220183615,220183615
Zm00001eb117360,-1,2,Zm00001e121790,240457905,240460511,240460511
Zm00001eb308680,-1,7,Zm00001e136279,79509198,79515962,79515962
Zm00001eb407980,1,10,Zm00001e154845,9966465,9967899,9966465
Zm00001eb183590,-1,4,Zm00001e022860,134801493,134806223,134806106
Zm00001eb183590,-1,4,Zm00001e022860,134801493,134806223,134806223
Zm00001eb357790,1,8,Zm00001e027836,145634058,145639221,145634058
Zm00001eb357790,1,8,Zm00001e027836,145634058,145639221,145634227
Zm00001eb357790,1,8,Zm00001e027836,145634058,145639221,145634232
Zm00001eb432020,1,10,Zm00001e041774,147338114,147352876,147338172
Zm00001eb432020,1,10,Zm00001e041774,147338114,147352876,147338114
Zm00001eb291880,-1,6,Zm00001e032046,168153151,168154910,168154910
Zm00001eb229630,1,5,Zm00001e013428,70400920,70403691,70400920
Zm00001eb229630,1,5,Zm00001e013428,70400920,70403691,70401260
Zm00001eb137870,-1,3,Zm00001e018303,135622144,135628627,135628580
Zm00001eb137870,-1,3,Zm00001e018303,135622144,135628627,135628627
Zm00001eb137870,-1,3,Zm00001e018303,135622144,135628627,135628494
Zm00001eb309490,-1,7,Zm00001e033772,88722047,88725286,88725286
Zm00001eb131550,-1,3,Zm00001e017622,66952614,66964635,66964635
Zm00001eb131550,-1,3,Zm00001e017622,66952614,66964635,66964615
Zm00001eb207740,1,4,Zm00001e025192,245554352,245555073,245554352
Zm00001eb136480,1,3,Zm00001e018165,127713557,127716857,127713557
Zm00001eb246170,1,5,Zm00001e133129,184525449,184527835,184525449
Zm00001eb185730,1,4,Zm00001e023083,152145355,152152969,152145781
Zm00001eb185730,1,4,Zm00001e023083,152145355,152152969,152145355
Zm00001eb382500,1,9,Zm00001e037013,55553809,55555243,55553809
Zm00001eb167770,-1,4,Zm00001e021258,10854450,10855608,10855608
Zm00001eb336020,-1,8,Zm00001e025819,15295553,15299432,15299432
Zm00001eb281780,1,6,Zm00001e148869,133816888,133818673,133816888
Zm00001eb044300,-1,1,Zm00001e004443,231896321,231908251,231907776
Zm00001eb044300,-1,1,Zm00001e004443,231896321,231908251,231908251
Zm00001eb273060,1,6,Zm00001e030246,97168306,97169737,97168306
Zm00001eb146350,-1,3,Zm00001e019123,178989232,178990691,178990691
Zm00001eb360150,1,8,Zm00001e028050.m1,154201738,154205494,154204368
Zm00001eb360150,1,8,Zm00001e028050.m1,154201738,154205494,154201738
Zm00001eb314230,1,7,Zm00001e034278,127365737,127369201,127366302
Zm00001eb314230,1,7,Zm00001e034278,127365737,127369201,127366083
Zm00001eb314230,1,7,Zm00001e034278,127365737,127369201,127365737
Zm00001eb105300,-1,2,Zm00001e010397,207022244,207031892,207031806
Zm00001eb105300,-1,2,Zm00001e010397,207022244,207031892,207031892
