Gene stable ID,Triticum aestivum gene stable ID,"Triticum aestivum orthology confidence [0 low, 1 high]"
AT1G01100,TraesCS7D02G313800,0
AT1G01100,TraesCS7A02G316300,0
AT1G01100,TraesCS7B02G217900,0
AT1G01110,TraesCS7B02G218800,0
AT1G01110,TraesCSU02G104800,0
AT1G01110,TraesCS7A02G317400,0
AT1G01150,,
AT1G01160,TraesCS4A02G151200,0
AT1G01160,TraesCS5B02G114600,0
AT1G01160,TraesCS4B02G158300,0
AT1G01160,TraesCS5A02G107700,0
AT1G01160,TraesCS5D02G116800,0
AT1G01170,,
AT1G01180,TraesCS5A02G306100,0
AT1G01180,TraesCS5D02G313100,0
AT1G01180,TraesCS5B02G306500,0
AT1G01200,TraesCS5D02G321800,0
AT1G01200,TraesCS5A02G315700,0
AT1G01200,TraesCS7D02G381500,0
AT1G01200,TraesCS7B02G287900,0
AT1G01200,TraesCS5B02G316300,0
AT1G01210,,
AT1G01320,TraesCS3A02G304100,0
AT1G01320,TraesCS3B02G332300,0
AT1G01320,TraesCS3A02G303900,0
AT1G01320,TraesCS3D02G297900,0
AT1G01320,TraesCS3D02G297800,0
AT1G01320,TraesCS3B02G332400,0
AT1G01335,,
AT1G01340,TraesCS7B02G232600,0
AT1G01340,TraesCS6A02G196800,0
AT1G01340,TraesCS6D02G181100,0
AT1G01340,TraesCS7A02G350300,0
AT1G01340,TraesCS7D02G328400,0
AT1G01350,TraesCS4D02G222000,0
AT1G01350,TraesCS4A02G082400,1
AT1G01350,TraesCS6B02G296000,0
AT1G01350,TraesCS4B02G221600,0
AT1G01400,,
AT1G01410,,
AT1G01453,TraesCS1D02G140100,0
AT1G01453,TraesCS1A02G141100,0
AT1G01453,TraesCS1B02G157500,0
AT1G01460,,
AT1G01680,TraesCS6D02G319000,0
AT1G01690,,
AT1G01740,TraesCS2B02G604300,0
AT1G01740,TraesCS7D02G324900,0
AT1G01740,TraesCS2D02G597600,0
AT1G01740,TraesCS7A02G328100,0
AT1G01740,TraesCS7B02G228900,0
AT1G01740,TraesCS2A02G582500,0
AT1G01750,TraesCS2A02G227300,0
AT1G01750,TraesCS2B02G255200,0
AT1G01750,TraesCS6D02G229200,0
AT1G01750,TraesCS2A02G410700,1
AT1G01750,TraesCS6A02G247000,0
AT1G01750,TraesCS2D02G408100,0
AT1G01750,TraesCS2B02G429500,0
AT1G01750,TraesCS6B02G277600,0
AT1G01750,TraesCS2D02G235200,0
AT1G01880,TraesCS5B02G310700,0
AT1G01880,TraesCS5A02G309900,0
AT1G01880,TraesCS5D02G316900,0
AT1G01900,,
AT1G01960,TraesCS4D02G225300,0
AT1G01960,TraesCS4B02G224700,0
AT1G01960,TraesCS4A02G067400,0
AT1G01970,TraesCS2A02G125300,0
AT1G01970,TraesCS2D02G128400,0
AT1G01970,TraesCS2B02G147800,0
AT1G02140,TraesCS7D02G320000,0
AT1G02140,TraesCS7B02G224300,0
AT1G02140,TraesCS7A02G323400,0
AT1G02145,TraesCS2A02G391900,0
AT1G02145,TraesCS2D02G390100,0
AT1G02145,TraesCS2B02G410300,0
AT1G02180,,
AT1G02190,TraesCS2A02G385200,0
AT1G02190,TraesCS1B02G168400,0
AT1G02190,TraesCS1A02G150800,0
AT1G02190,TraesCS2D02G381800,1
AT1G02190,TraesCS7D02G103100,0
AT1G02190,TraesCS6B02G255100,0
AT1G02190,TraesCS2D02G381900,0
AT1G02190,TraesCS2A02G003200,0
AT1G02190,TraesCS6B02G423900,0
AT1G02190,TraesCS1D02G147800,0
AT1G02190,TraesCS7D02G102700,1
AT1G02190,TraesCS2A02G385100,0
AT1G02190,TraesCS6D02G369400,0
AT1G02190,TraesCS1B02G168500,0
AT1G02190,TraesCS6A02G384600,0
AT1G02190,TraesCS6A02G226500,0
AT1G02190,TraesCS2B02G402100,0
AT1G02190,TraesCS1A02G150900,0
AT1G02190,TraesCS7A02G108200,0
AT1G02190,TraesCS1D02G147900,0
AT1G02190,TraesCS6D02G208500,0
AT1G02290,TraesCS7D02G240900,0
AT1G02290,TraesCS7A02G242000,0
AT1G02290,TraesCS7B02G149400,0
AT1G02300,TraesCS4A02G252900,0
AT1G02300,TraesCS4A02G252700,0
AT1G02300,TraesCS4A02G252800,0
AT1G02300,TraesCS4B02G062600,0
AT1G02300,TraesCS4D02G061400,0
AT1G02300,TraesCS4B02G062400,0
AT1G02300,TraesCS4B02G062500,0
AT1G02310,TraesCS6A02G333400,0
AT1G02310,TraesCS6B02G363700,0
AT1G02310,TraesCS6A02G333300,0
AT1G02310,TraesCS6B02G363800,0
AT1G02310,TraesCS6D02G312600,0
AT1G02310,TraesCS5D02G504800,0
AT1G02310,TraesCS6A02G333500,0
AT1G02310,TraesCS4A02G368600,0
AT1G02310,TraesCS6B02G363900,0
AT1G02310,TraesCS5B02G504000,0
AT1G02310,TraesCS6D02G311900,0
AT1G02310,TraesCS6D02G312500,0
AT1G02320,,
AT1G02405,,
AT1G02410,TraesCS4A02G264000,0
AT1G02410,TraesCS4D02G051000,0
AT1G02410,TraesCS4B02G050900,0
AT1G02540,,
AT1G02550,,
AT1G02610,TraesCS1D02G226900,0
AT1G02610,TraesCS1D02G209400,0
AT1G02610,TraesCS1A02G225700,0
AT1G02610,TraesCS1A02G206100,0
AT1G02610,TraesCS1B02G238900,0
AT1G02610,TraesCS1B02G219700,0
AT1G02620,TraesCS3D02G179300,0
AT1G02620,TraesCS3A02G193800,0
AT1G02620,TraesCS3D02G196200,0
AT1G02620,TraesCS5B02G095200,0
AT1G02620,TraesCS5D02G101300,0
AT1G02620,TraesCS3B02G203800,0
AT1G02620,TraesCS3A02G172900,0
AT1G02620,TraesCS5A02G089200,0
AT1G02620,TraesCS3B02G221700,0
AT1G02660,TraesCS3B02G203700,0
AT1G02660,TraesCS3D02G179200,0
AT1G02660,TraesCS3A02G173000,0
AT1G02670,TraesCS2D02G230600,0
AT1G02670,TraesCS2B02G274500,0
AT1G02670,TraesCS1B02G074500,0
AT1G02670,TraesCS2A02G224300,0
AT1G02740,TraesCS2B02G056900,0
AT1G02740,TraesCS2D02G043400,0
AT1G02740,TraesCS2A02G044800,0
AT1G02740,TraesCS2B02G057000,0
AT1G02750,TraesCS5B02G096100,0
AT1G02750,TraesCS1B02G241300,0
AT1G02750,TraesCS1A02G227200,0
AT1G02750,TraesCS1D02G228800,0
AT1G02750,TraesCS5D02G102400,0
AT1G02750,TraesCS5A02G090400,0
AT1G02965,,
AT1G02970,TraesCS6B02G128100,0
AT1G02970,TraesCS6D02G082400,0
AT1G02970,TraesCS6A02G099900,0
AT1G03000,TraesCS2D02G458300,0
AT1G03000,TraesCS2A02G457600,0
AT1G03000,TraesCS2B02G480000,0
AT1G03010,TraesCS5B02G461900,0
AT1G03010,TraesCS7A02G184200,0
AT1G03010,TraesCS5D02G463700,0
AT1G03040,TraesCS5B02G445900,0
AT1G03040,TraesCS5D02G449200,0
AT1G03040,TraesCS5A02G441900,0
AT1G03050,TraesCS1B02G277200,0
AT1G03050,TraesCS1A02G266200,0
AT1G03050,TraesCS1D02G266400,0
AT1G03100,TraesCSU02G138700,0
AT1G03100,TraesCS4B02G365500,0
AT1G03100,TraesCS5A02G533600,0
AT1G03103,,
AT1G03106,,
AT1G03110,TraesCS5D02G394500,0
