"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"A01p000050.1_BraROA",-1,"A01","",1967,10942,10942,523,"Pair_1"
"A01p000060.1_BraROA",1,"A01","Expansin-A20 [Source:Projected from Arabidopsis thaliana (AT4G38210) UniProtKB/Swiss-Prot;Acc:Q9SZM1]",11466,12314,11466,NA,"Pair_1"
"A01p000390.1_BraROA",-1,"A01","",149591,151474,151474,564,"Pair_2"
"A01p000400.1_BraROA",1,"A01","",152039,152710,152039,NA,"Pair_2"
"A01p000420.1_BraROA",-1,"A01","",156454,157029,157029,811,"Pair_3"
"A01p000430.1_BraROA",1,"A01","",157841,158559,157841,NA,"Pair_3"
"A01p000620.1_BraROA",-1,"A01","",251929,253014,253014,573,"Pair_4"
"A01p000630.1_BraROA",1,"A01","",253588,253973,253588,NA,"Pair_4"
"A01p000680.1_BraROA",-1,"A01","",268777,269402,269402,883,"Pair_5"
"A01p000690.1_BraROA",1,"A01","",270286,273285,270286,NA,"Pair_5"
"A01p000790.1_BraROA",-1,"A01","",312946,314293,314293,295,"Pair_6"
"A01p000800.1_BraROA",1,"A01","",314589,315683,314589,NA,"Pair_6"
"A01p001110.1_BraROA",-1,"A01","",421923,422956,422956,504,"Pair_7"
"A01p001120.1_BraROA",1,"A01","",423461,423736,423461,NA,"Pair_7"
"A01g500170.1_BraROA",-1,"A01","",611364,612393,612393,955,"Pair_8"
"A01p001470.1_BraROA",1,"A01","",613349,615077,613349,NA,"Pair_8"
"A01p002130.1_BraROA",-1,"A01","Thioredoxin-like protein HCF164, chloroplastic [Source:Projected from Arabidopsis thaliana (AT4G37200) UniProtKB/Swiss-Prot;Acc:O23166]",981425,982710,982710,355,"Pair_9"
"A01p002140.1_BraROA",1,"A01","",983066,984432,983066,NA,"Pair_9"
"A01p002720.1_BraROA",-1,"A01","",1242487,1244847,1244847,371,"Pair_10"
"A01p002730.1_BraROA",1,"A01","",1245219,1249093,1245219,NA,"Pair_10"
"A01g500310.1_BraROA",-1,"A01","",1273258,1274043,1274043,552,"Pair_11"
"A01p002760.1_BraROA",1,"A01","",1274596,1279453,1274596,NA,"Pair_11"
"A01p002800.1_BraROA",-1,"A01","",1294419,1295456,1295456,964,"Pair_12"
"A01p002810.1_BraROA",1,"A01","",1296421,1298311,1296421,NA,"Pair_12"
"A01p002830.1_BraROA",-1,"A01","",1317137,1317654,1317654,342,"Pair_13"
"A01p002840.1_BraROA",1,"A01","DNA-(apurinic or apyrimidinic site) lyase 2 [Source:Projected from Arabidopsis thaliana (AT4G36050) UniProtKB/Swiss-Prot;Acc:F4JNY0]",1317997,1320439,1317997,NA,"Pair_13"
"A01p003080.1_BraROA",-1,"A01","SEN1 [Source:Projected from Arabidopsis thaliana (AT4G35770) UniProtKB/TrEMBL;Acc:A0A178UYD5]",1407468,1408331,1408331,367,"Pair_14"
"A01p003090.1_BraROA",1,"A01","",1408699,1410526,1408699,NA,"Pair_14"
"A01p003170.1_BraROA",-1,"A01","Protein RKD5 [Source:Projected from Arabidopsis thaliana (AT4G35590) UniProtKB/Swiss-Prot;Acc:O81791]",1436449,1438476,1438476,850,"Pair_15"
"A01p003200.1_BraROA",1,"A01","",1439327,1443541,1439327,NA,"Pair_15"
"A01p003390.1_BraROA",-1,"A01","Cysteine protease XCP1 [Source:Projected from Arabidopsis thaliana (AT4G35350) UniProtKB/Swiss-Prot;Acc:O65493]",1505369,1509679,1509679,679,"Pair_16"
"A01p003410.1_BraROA",1,"A01","",1510359,1510784,1510359,NA,"Pair_16"
"A01p003600.1_BraROA",-1,"A01","Cyclase-like protein 2 [Source:Projected from Arabidopsis thaliana (AT4G35220) UniProtKB/Swiss-Prot;Acc:Q94JT5]",1569684,1571866,1571866,669,"Pair_17"
"A01g500350.1_BraROA",1,"A01","",1572536,1572892,1572536,NA,"Pair_17"
"A01p003660.1_BraROA",-1,"A01","",1594007,1598530,1598530,776,"Pair_18"
"A01g500390.1_BraROA",1,"A01","",1599307,1600949,1599307,NA,"Pair_18"
"A01p003670.1_BraROA",-1,"A01","",1602505,1603215,1603215,231,"Pair_19"
"A01p003680.1_BraROA",1,"A01","",1603447,1604646,1603447,NA,"Pair_19"
"A01p003790.1_BraROA",-1,"A01","",1650563,1652127,1652127,985,"Pair_20"
"A01p003800.1_BraROA",1,"A01","",1653113,1657156,1653113,NA,"Pair_20"
"A01p003930.1_BraROA",-1,"A01","",1706899,1708254,1708254,748,"Pair_21"
"A01p003940.1_BraROA",1,"A01","Pentatricopeptide repeat-containing protein MRL1, chloroplastic [Source:Projected from Arabidopsis thaliana (AT4G34830) UniProtKB/Swiss-Prot;Acc:Q0WLC6]",1709003,1714689,1709003,NA,"Pair_21"
"A01p004120.1_BraROA",-1,"A01","",1776150,1787872,1787872,920,"Pair_22"
"A01p004160.1_BraROA",1,"A01","",1788793,1789425,1788793,NA,"Pair_22"
"A01p004410.1_BraROA",-1,"A01","",1890636,1892362,1892362,866,"Pair_23"
"A01p004420.1_BraROA",1,"A01","",1893229,1895491,1893229,NA,"Pair_23"
"A01p004460.1_BraROA",-1,"A01","",1910250,1914213,1914213,436,"Pair_24"
"A01p004470.1_BraROA",1,"A01","",1914650,1915727,1914650,NA,"Pair_24"
"A01p004530.1_BraROA",-1,"A01","Aldehyde dehydrogenase [Source:Projected from Arabidopsis thaliana (AT4G34240) UniProtKB/TrEMBL;Acc:A0A178UV01]",1936594,1939576,1939576,924,"Pair_25"
"A01p004540.1_BraROA",1,"A01","",1940501,1942328,1940501,NA,"Pair_25"
"A01p004770.1_BraROA",-1,"A01","",2051808,2054151,2054151,565,"Pair_26"
"A01p004780.1_BraROA",1,"A01","",2054717,2055782,2054717,NA,"Pair_26"
"A01p004920.1_BraROA",-1,"A01","",2127221,2128187,2128187,842,"Pair_27"
"A01p004930.1_BraROA",1,"A01","",2129030,2131648,2129030,NA,"Pair_27"
"A01p004940.1_BraROA",-1,"A01","",2131900,2132151,2132151,936,"Pair_28"
"A01p004950.1_BraROA",1,"A01","",2133088,2133495,2133088,NA,"Pair_28"
"A01p004960.1_BraROA",-1,"A01","",2134516,2139380,2139380,579,"Pair_29"
"A01p004970.1_BraROA",1,"A01","",2139960,2140437,2139960,NA,"Pair_29"
"A01p004990.1_BraROA",-1,"A01","Probable ubiquitin-like-specific protease 2A [Source:Projected from Arabidopsis thaliana (AT4G33620) UniProtKB/Swiss-Prot;Acc:Q0WKV8]",2142676,2147951,2147951,784,"Pair_30"
"A01p005000.1_BraROA",1,"A01","",2148736,2149149,2148736,NA,"Pair_30"
"A01p005190.1_BraROA",-1,"A01","",2212516,2217782,2217782,532,"Pair_31"
"A01g500500.1_BraROA",1,"A01","Tic22-IV [Source:Projected from Arabidopsis thaliana (AT4G33350) UniProtKB/TrEMBL;Acc:A0A178UWE7]",2218315,2220312,2218315,NA,"Pair_31"
"A01p005280.1_BraROA",-1,"A01","",2272397,2274201,2274201,459,"Pair_32"
"A01p005290.1_BraROA",1,"A01","",2274661,2277627,2274661,NA,"Pair_32"
"A01p005360.1_BraROA",-1,"A01","",2296359,2298089,2298089,974,"Pair_33"
