Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
Os10g0529700,1,10,Similar to glutathione transferase35,20597074,20598092,20597074
Os09g0489500,-1,9,"bZIP transcription factor, Tapetum developmen",18868479,18877573,18877195
Os09g0489500,-1,9,"bZIP transcription factor, Tapetum developmen",18868479,18877573,18877573
Os09g0502200,-1,9,"Similar to Beta-1,3-glucanase (Fragment)",19433960,19437709,19437709
Os11g0584100,1,11,Cyclin-like F-box domain containing protein,22068104,22070310,22068243
Os11g0584100,1,11,Cyclin-like F-box domain containing protein,22068104,22070310,22068104
Os01g0937366,1,1,Conserved hypothetical protein,41156058,41156498,41156058
Os11g0172133,1,11,Hypothetical conserved gene,3535566,3536200,3535566
Os03g0193700,1,3,Terpenoid cylases/protein prenyltransferase alpha-alpha toroid domain containing protein,4888551,4889232,4888551
Os03g0732200,-1,3,Similar to dynamin-2A,29976199,29978391,29978391
Os01g0220100,-1,1,Similar to Cellulase,6564697,6568140,6568140
Os10g0135250,-1,10,Lipocalin domain containing protein,2185064,2189599,2189599
Os04g0676700,-1,4,Similar to H0101F08.8 protein,34555255,34559408,34559368
Os04g0676700,-1,4,Similar to H0101F08.8 protein,34555255,34559408,34559408
Os01g0191900,-1,1,Similar to Blind,4917960,4919224,4919224
Os03g0779300,1,3,Hypothetical gene,32328398,32328960,32328398
Os03g0190300,-1,3,Similar to protein binding protein,4702183,4705151,4705151
Os03g0834300,1,3,"Similar to GRAS family transcription factor containing protein, expressed",35059649,35060264,35059649
Os05g0170250,-1,5,Hypothetical gene,4213222,4216654,4216654
Os02g0502300,-1,2,"Similar to Cytochrome P450 family protein, expressed",17677625,17678224,17678224
Os11g0459400,-1,11,Hypothetical protein,15600678,15601310,15601310
Os01g0136500,-1,1,Conserved hypothetical protein,1962884,1963627,1963627
Os07g0240600,1,7,UDP-glucuronosyl/UDP-glucosyltransferase family protein,7815442,7832249,7815442
Os09g0434200,-1,9,Similar to ABI3-interacting protein 2-1 protein,15944563,15947917,15947783
Os09g0434200,-1,9,Similar to ABI3-interacting protein 2-1 protein,15944563,15947917,15947917
Os02g0788300,1,2,Similar to Eukaryotic translation initiation factor 3 subunit G,33491615,33492869,33491615
Os08g0215900,1,8,Hypothetical protein,6792260,6792917,6792260
Os11g0479100,-1,11,"Similar to NB-ARC domain containing protein, expressed",16751786,16758978,16758978
Os06g0676500,1,6,Hypothetical protein,28089151,28091496,28089151
Os04g0313900,-1,4,Similar to cytokinin-O-glucosyltransferase 2,14302605,14302907,14302907
Os03g0766600,1,3,Conserved hypothetical protein,31755906,31756587,31755906
Os04g0175900,1,4,Winged helix repressor DNA-binding domain containing protein,5178491,5186485,5178491
Os04g0669500,-1,4,Phospholipase/carboxylesterase domain containing protein,34148182,34150717,34150717
Os12g0125500,-1,12,"Similar to MatE family protein, expressed",1220955,1224975,1224975
Os03g0750700,-1,3,"Six-bladed beta-propeller, TolB-like domain containing protein",30927374,30929678,30929678
Os02g0796100,1,2,Similar to CPL3,33846328,33847806,33846328
Os12g0583300,1,12,"Peptidase aspartic, catalytic domain containing protein",24212538,24214065,24212538
Os07g0634200,1,7,Similar to Rab GTP-binding protein Rab11a,26321294,26324120,26321294
Os09g0298200,-1,9,Similar to Brittle 2,7245434,7249813,7249813
Os09g0298200,-1,9,Similar to Brittle 2,7245434,7249813,7249770
Os08g0427500,1,8,DNA repair protein Rad4 family protein,20559024,20566198,20559024
Os10g0555700,-1,10,Beta-expansin,21835933,21837651,21837651
Os10g0545500,1,10,Similar to xyloglucan endotransglucosylase/hydrolase protein 32,21320574,21322000,21320574
Os10g0419300,-1,10,Heat stress transcription facto,14746572,14750175,14750175
Os10g0419300,-1,10,Heat stress transcription facto,14746572,14750175,14749829
Os09g0134500,-1,9,Hypothetical conserved gene,2601653,2615934,2615905
Os09g0134500,-1,9,Hypothetical conserved gene,2601653,2615934,2615934
Os12g0127500,1,12,Conserved hypothetical protein,1317605,1319863,1317605
Os11g0636600,1,11,Conserved hypothetical protein,25134253,25137270,25134253
Os11g0636600,1,11,Conserved hypothetical protein,25134253,25137270,25134254
Os12g0570500,1,12,"Glycoside hydrolase, family 5, conserved site domain containing protein",23494449,23499242,23494449
Os04g0690100,1,4,"Zinc finger, C2H2-type domain containing protein",35297676,35300310,35297676
Os04g0690100,1,4,"Zinc finger, C2H2-type domain containing protein",35297676,35300310,35297937
Os02g0150800,1,2,"F-box protein with a LOV domain and consecutive Kelch repeats, Circadian clock associated-componen",2798816,2803581,2798816
Os09g0497900,-1,9,No apical meristem (NAM) protein domain containing protein,19253287,19255954,19255954
Os06g0610000,1,6,Conserved hypothetical protein,24296662,24297321,24296662
