Gene stable ID,GO term name,GO term definition,GO term accession,GO term evidence code,GO domain
TraesCS1A02G023000,,,,,
TraesCS1A02G023100,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G040400,nucleic acid binding,Binding to a nucleic acid.,GO:0003676,IEA,molecular_function
TraesCS1A02G040400,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IEA,molecular_function
TraesCS1A02G040400,zinc ion binding,Binding to a zinc ion (Zn).,GO:0008270,IEA,molecular_function
TraesCS1A02G040500,,,,,
TraesCS1A02G041400,serine-type endopeptidase inhibitor activity,"Binds to and stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.",GO:0004867,IEA,molecular_function
TraesCS1A02G041400,response to wounding,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.",GO:0009611,IEA,biological_process
TraesCS1A02G041500,serine-type endopeptidase inhibitor activity,"Binds to and stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.",GO:0004867,IEA,molecular_function
TraesCS1A02G041500,response to wounding,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism.",GO:0009611,IEA,biological_process
TraesCS1A02G041900,,,,,
TraesCS1A02G042000,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G042000,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G054900,,,,,
TraesCS1A02G055000,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G063500,zinc ion binding,Binding to a zinc ion (Zn).,GO:0008270,IEA,molecular_function
TraesCS1A02G063600,transferase activity,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.",GO:0016740,IEA,molecular_function
TraesCS1A02G063600,,,,,
TraesCS1A02G076700,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G076700,monooxygenase activity,Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.,GO:0004497,IEA,molecular_function
TraesCS1A02G076700,iron ion binding,Binding to an iron (Fe) ion.,GO:0005506,IEA,molecular_function
TraesCS1A02G076700,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.",GO:0016705,IEA,molecular_function
TraesCS1A02G076800,,,,,
TraesCS1A02G086800,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G086900,,,,,
TraesCS1A02G086900,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G098000,,,,,
TraesCS1A02G098100,,,,,
TraesCS1A02G116500,,,,,
TraesCS1A02G116600,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G130300,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G130300,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G130300,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G130300,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,GO:0050821,IEA,biological_process
TraesCS1A02G130300,phosphate ion binding,Binding to a phosphate ion.,GO:0042301,IEA,molecular_function
TraesCS1A02G130400,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G130400,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G130400,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G135800,,,,,
TraesCS1A02G135900,"hydrolase activity, acting on ester bonds",Catalysis of the hydrolysis of any ester bond.,GO:0016788,IEA,molecular_function
TraesCS1A02G139800,,,,,
TraesCS1A02G139900,metal ion binding,Binding to a metal ion.,GO:0046872,IEA,molecular_function
TraesCS1A02G139900,metal ion transport,"The directed movement of metal ions, any metal ion with an electric charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0030001,IEA,biological_process
TraesCS1A02G167300,,,,,
TraesCS1A02G167400,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,GO:0003677,IEA,molecular_function
TraesCS1A02G167400,DNA replication preinitiation complex assembly,"The aggregation, arrangement and bonding together of a set of components to form the DNA replication preinitiation complex, a protein-DNA complex that is assembled at DNA replication origins immediately prior to the initiation of DNA replication. The complex consists of proteins that initiate the DNA binding, melt the helix and enable helicase activity.",GO:0071163,IEA,biological_process
TraesCS1A02G167400,regulation of DNA-templated DNA replication initiation,"Any process that modulates the frequency, rate or extent of initiation of DNA-dependent DNA replication; the process in which DNA becomes competent to replicate. In eukaryotes, replication competence is established in early G1 and lost during the ensuing S phase.",GO:0030174,IEA,biological_process
TraesCS1A02G179100,,,,,
TraesCS1A02G179200,,,,,
TraesCS1A02G181500,metal ion binding,Binding to a metal ion.,GO:0046872,IEA,molecular_function
TraesCS1A02G181500,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G181600,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G186300,glutathione metabolic process,"The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle.",GO:0006749,IEA,biological_process
TraesCS1A02G186300,glutathione transferase activity,"Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.",GO:0004364,IEA,molecular_function
TraesCS1A02G186400,glutathione metabolic process,"The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle.",GO:0006749,IEA,biological_process
TraesCS1A02G186400,glutathione transferase activity,"Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.",GO:0004364,IEA,molecular_function
TraesCS1A02G206400,protein glycosylation,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.",GO:0006486,IEA,biological_process
TraesCS1A02G206400,glycosyltransferase activity,Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).,GO:0016757,IEA,molecular_function
