"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"Os01g0100300",-1,"1","Cytochrome P450 domain containing protein",11372,12284,12284,436,"Pair_1"
"Os01g0100400",1,"1","Similar to Pectinesterase-like protein",12721,15685,12721,NA,"Pair_1"
"Os01g0100650",-1,"1","Hypothetical gene",25861,26424,26424,718,"Pair_2"
"Os01g0100700",1,"1","Similar to 40S ribosomal protein S5-1",27143,28644,27143,NA,"Pair_2"
"Os01g0103600",-1,"1","Similar to sterol-8,7-isomerase",186250,190904,190904,132,"Pair_3"
"Os01g0103700",1,"1","Conserved hypothetical protein",191037,196287,191037,NA,"Pair_3"
"Os01g0104000",-1,"1","C-type lectin domain containing protein",206131,209606,209606,164,"Pair_4"
"Os01g0104100",1,"1","Similar to protein binding / zinc ion binding",209771,214173,209771,NA,"Pair_4"
"Os01g0109432",-1,"1","Hypothetical gene",509226,509803,509803,948,"Pair_5"
"Os01g0109500",1,"1","Conserved hypothetical protein",510752,512142,510752,NA,"Pair_5"
"Os01g0113200",-1,"1","Similar to Receptor serine/threonine kinase",720673,723317,723317,375,"Pair_6"
"Os01g0113300",1,"1","Similar to ARK protein (Fragment)",723693,726099,723693,NA,"Pair_6"
"Os01g0113400",-1,"1","Similar to Receptor-like kinase",731150,738020,738020,887,"Pair_7"
"Os01g0113650",1,"1","Hypothetical conserved gene",738908,740898,738908,NA,"Pair_7"
"Os01g0113700",-1,"1","Similar to Receptor-like kinase",742860,745177,745177,274,"Pair_8"
"Os01g0113800",1,"1","Protein kinase, core domain containing protein",745452,748945,745452,NA,"Pair_8"
"Os01g0114100",-1,"1","Similar to Protein kinase RLK17",767181,769673,769673,658,"Pair_9"
"Os01g0114300",1,"1","Similar to Receptor-like protein kinase (Fragment)",770332,773829,770332,NA,"Pair_9"
"Os01g0114200",-1,"1","Conserved hypothetical protein",770284,774374,774374,473,"Pair_10"
"Os01g0114402",1,"1","Hypothetical protein",774848,779158,774848,NA,"Pair_10"
"Os01g0115566",-1,"1","Similar to Receptor-like kinase",842002,842757,842757,772,"Pair_11"
"Os01g0115600",1,"1","Similar to LRK14",843530,847399,843530,NA,"Pair_11"
"Os01g0115800",-1,"1","Similar to Receptor-like kinase",862579,865249,865249,688,"Pair_12"
"Os01g0115900",1,"1","Similar to Receptor-like protein kinase",865938,869298,865938,NA,"Pair_12"
