Requested ID,Matched ID(s),Releases,,,,,,,
Traes_6DS_89224B2D5,TraesCS6A02G180800,108: TraesCS6A02G180800.193: TraesCS6A02G180800.1,,,,,,,
Traes_6DS_89224B2D5,TraesCS6D02G164300,108: TraesCS6D02G164300.193: TraesCS6D02G164300.1,,,,,,,
Traes_6DS_89224B2D5,TraesCS6B02G204700,108: TraesCS6B02G204700.193: TraesCS6B02G204700.1,,,,,,,
Traes_6DL_8828FB150,TraesCS6D02G242000,108: TraesCS6D02G242000.193: TraesCS6D02G242000.1,,,,,,,
Traes_6DL_8828FB150,TraesCS6B02G288600,108: TraesCS6B02G288600.193: TraesCS6B02G288600.1,,,,,,,
Traes_6DL_8828FB150,TraesCS6A02G261200,108: TraesCS6A02G261200.193: TraesCS6A02G261200.1,,,,,,,
Traes_6DS_13DC96057,TraesCS6D02G095600,108: TraesCS6D02G095600.193: TraesCS6D02G095600.1,,,,,,,
Traes_6DS_13DC96057,TraesCS6B02G136300,108: TraesCS6B02G136300.193: TraesCS6B02G136300.1,,,,,,,
Traes_6DS_13DC96057,TraesCS6A02G107700,108: TraesCS6A02G107700.193: TraesCS6A02G107700.1,,,,,,,
Traes_6DL_5AB1334AC,TraesCS6D02G394800,108: TraesCS6D02G394800.193: TraesCS6D02G394800.1,,,,,,,
Traes_6DL_5AB1334AC,TraesCS6A02G412100,108: TraesCS6A02G412100.193: TraesCS6A02G412100.1,,,,,,,
Traes_6DL_5AB1334AC,TraesCS6B02G460100,108: TraesCS6B02G460100.193: TraesCS6B02G460100.1,,,,,,,
Traes_2DS_EDC051BE3,TraesCS2B02G152100,108: TraesCS2B02G152100.193: TraesCS2B02G152100.1,,,,,,,
Traes_2DS_EDC051BE3,TraesCS2A02G129900,108: TraesCS2A02G129900.193: TraesCS2A02G129900.1,,,,,,,
Traes_2DS_EDC051BE3,TraesCS2D02G132100,108: TraesCS2D02G132100.193: TraesCS2D02G132100.1,,,,,,,
Traes_5DL_264309F34,TraesCS5B02G211200,108: TraesCS5B02G211200.193: TraesCS5B02G211200.1,,,,,,,
Traes_5DL_264309F34,TraesCS5D02G219500,108: TraesCS5D02G219500.193: TraesCS5D02G219500.1,,,,,,,
Traes_5DL_264309F34,TraesCS5A02G212500,108: TraesCS5A02G212500.193: TraesCS5A02G212500.1,,,,,,,
Traes_5DL_21090CF5B,TraesCS5A02G298400,108: TraesCS5A02G298400.193: TraesCS5A02G298400.1,,,,,,,
Traes_5DL_21090CF5B,TraesCS5D02G305100,108: TraesCS5D02G305100.193: TraesCS5D02G305100.1,,,,,,,
Traes_5DL_21090CF5B,TraesCS5B02G297600,108: TraesCS5B02G297600.193: TraesCS5B02G297600.1,,,,,,,
Traes_5DL_DD9A5FDA9,TraesCS5B02G145200,108: TraesCS5B02G145200.193: TraesCS5B02G145200.1,,,,,,,
Traes_5DL_DD9A5FDA9,TraesCS5D02G145900,108: TraesCS5D02G145900.193: TraesCS5D02G145900.1,,,,,,,
Traes_5DL_DD9A5FDA9,TraesCS5A02G146400,108: TraesCS5A02G146400.193: TraesCS5A02G146400.1,,,,,,,
Traes_6DS_B964E38EB,TraesCS6D02G150400,108: TraesCS6D02G150400.193: TraesCS6D02G150400.1,,,,,,,
Traes_6DS_B964E38EB,TraesCS6A02G161800,108: TraesCS6A02G161800.193: TraesCS6A02G161800.1,,,,,,,
Traes_6DS_B964E38EB,TraesCS6B02G189400,108: TraesCS6B02G189400.193: TraesCS6B02G189400.1,,,,,,,
Traes_3DL_8C5311256,TraesCS3D02G271400,108: TraesCS3D02G271400.193: TraesCS3D02G271400.1,,,,,,,
Traes_3DL_8C5311256,TraesCS3B02G305500,108: TraesCS3B02G305500.193: TraesCS3B02G305500.1,,,,,,,
Traes_3DL_8C5311256,TraesCS3A02G271800,108: TraesCS3A02G271800.193: TraesCS3A02G271800.1,,,,,,,
Traes_3DL_515EA275E,TraesCS3D02G309000,108: TraesCS3D02G309000.193: TraesCS3D02G309000.1,,,,,,,
Traes_3DL_515EA275E,TraesCS3A02G322100,108: TraesCS3A02G322100.193: TraesCS3A02G322100.1,,,,,,,
Traes_3DL_515EA275E,TraesCS3B02G343100,108: TraesCS3B02G343100.193: TraesCS3B02G343100.1,,,,,,,
Traes_3DL_EA11AA497,TraesCS3A02G221900,108: TraesCS3A02G221900.193: TraesCS3A02G221900.1,,,,,,,
Traes_3DL_EA11AA497,TraesCS3D02G231200,108: TraesCS3D02G231200.193: TraesCS3D02G231200.1,,,,,,,
Traes_3DL_EA11AA497,TraesCS3B02G251700,108: TraesCS3B02G251700.193: TraesCS3B02G251700.1,,,,,,,
Traes_2DL_8C4BFA3CB,TraesCS2B02G407900,108: TraesCS2B02G407900.193: TraesCS2B02G407900.1,,,,,,,
Traes_2DL_8C4BFA3CB,TraesCS2D02G387600,108: TraesCS2D02G387600.193: TraesCS2D02G387600.1,,,,,,,
Traes_2DL_8C4BFA3CB,TraesCS2A02G391100,108: TraesCS2A02G391100.193: TraesCS2A02G391100.1,,,,,,,
Traes_7DS_1FFC35E70,TraesCS7B02G054900,108: TraesCS7B02G054900.193: TraesCS7B02G054900.1,,,,,,,
Traes_7DS_1FFC35E70,TraesCS7D02G152800,108: TraesCS7D02G152800.193: TraesCS7D02G152800.1,,,,,,,
Traes_7DS_1FFC35E70,TraesCS7A02G150900,108: TraesCS7A02G150900.193: TraesCS7A02G150900.1,,,,,,,
Traes_6DL_C8292F26F,TraesCS6D02G291600,108: TraesCS6D02G291600.193: TraesCS6D02G291600.1,,,,,,,
Traes_6DL_C8292F26F,TraesCS6A02G312200,108: TraesCS6A02G312200.193: TraesCS6A02G312200.1,,,,,,,
Traes_6DL_C8292F26F,TraesCS6B02G342400,108: TraesCS6B02G342400.193: TraesCS6B02G342400.1,,,,,,,
Traes_4DL_E50C77AEC,TraesCS4A02G039000,108: TraesCS4A02G039000.193: TraesCS4A02G039000.1,,,,,,,
Traes_4DL_E50C77AEC,TraesCS4D02G266400,108: TraesCS4D02G266400.193: TraesCS4D02G266400.1,,,,,,,
Traes_4DL_E50C77AEC,TraesCS4B02G266700,108: TraesCS4B02G266700.193: TraesCS4B02G266700.1,,,,,,,
Traes_1DL_E9EAD4087,TraesCS1A02G203400,108: TraesCS1A02G203400.193: TraesCS1A02G203400.1,,,,,,,
Traes_1DL_E9EAD4087,TraesCS1B02G217500,108: TraesCS1B02G217500.193: TraesCS1B02G217500.1,,,,,,,
Traes_1DL_E9EAD4087,TraesCS1D02G206900,108: TraesCS1D02G206900.193: TraesCS1D02G206900.1,,,,,,,
Traes_4DL_5A9B01657,TraesCS4A02G025200,108: TraesCS4A02G025200.193: TraesCS4A02G025200.1,,,,,,,
Traes_4DL_5A9B01657,TraesCS4B02G278900,108: TraesCS4B02G278900.193: TraesCS4B02G278900.1,,,,,,,
Traes_4DL_5A9B01657,TraesCS4D02G277400,108: TraesCS4D02G277400.193: TraesCS4D02G277400.1,,,,,,,
Traes_2DL_01CACA64F,TraesCS2B02G309000,108: TraesCS2B02G309000.193: TraesCS2B02G309000.1,,,,,,,
Traes_2DL_01CACA64F,TraesCS2A02G292600,108: TraesCS2A02G292600.193: TraesCS2A02G292600.1,,,,,,,
Traes_2DL_01CACA64F,TraesCS2D02G290400,108: TraesCS2D02G290400.193: TraesCS2D02G290400.1,,,,,,,
