"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"AT1G01100",-1,"1","60S acidic ribosomal protein family [Source:NCBI gene (formerly Entrezgene);Acc:839410]",49909,51210,51210,742,"Pair_1"
"AT1G01110",1,"1","IQ-domain 18 [Source:NCBI gene (formerly Entrezgene);Acc:839394]",51953,54737,51953,NA,"Pair_1"
"AT1G01150",-1,"1","Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839294]",69911,72138,72138,200,"Pair_2"
"AT1G01160",1,"1","GRF1-interacting factor 2 [Source:NCBI gene (formerly Entrezgene);Acc:839278]",72339,74096,72339,NA,"Pair_2"
"AT1G01170",-1,"1","ozone-responsive stress-like protein (DUF1138) [Source:NCBI gene (formerly Entrezgene);Acc:839263]",73931,74737,74737,652,"Pair_3"
"AT1G01180",1,"1","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839239]",75390,76845,75390,NA,"Pair_3"
"AT1G01200",-1,"1","RAB GTPase homolog A3 [Source:NCBI gene (formerly Entrezgene);Acc:839493]",86486,88409,88409,212,"Pair_4"
"AT1G01210",1,"1","DNA-directed RNA polymerase, subunit M, archaeal [Source:NCBI gene (formerly Entrezgene);Acc:839481]",88622,90502,88622,NA,"Pair_4"
"AT1G01320",-1,"1","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839293]",121067,130577,130577,158,"Pair_5"
"AT1G01335",1,"1","auxin-responsive endogenous peptide protein [Source:NCBI gene (formerly Entrezgene);Acc:28716020]",130736,130858,130736,NA,"Pair_5"
"AT1G01340",-1,"1","cyclic nucleotide gated channel 10 [Source:NCBI gene (formerly Entrezgene);Acc:838832]",132270,135924,135924,165,"Pair_6"
"AT1G01350",1,"1","Zinc finger (CCCH-type/C3HC4-type RING finger) family protein [Source:NCBI gene (formerly Entrezgene);Acc:838964]",136090,138162,136090,NA,"Pair_6"
"AT1G01400",-1,"1","",150689,152210,152210,902,"Pair_7"
"AT1G01410",1,"1","pumilio 22 [Source:NCBI gene (formerly Entrezgene);Acc:837547]",153113,154198,153113,NA,"Pair_7"
"AT1G01453",-1,"1","late embryosis abundant hydroxyproline-rich glycoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:6240388]",166589,168088,168088,470,"Pair_8"
"AT1G01460",1,"1","Phosphatidylinositol-4-phosphate 5-kinase, core [Source:NCBI gene (formerly Entrezgene);Acc:839469]",168559,171386,168559,NA,"Pair_8"
"AT1G01680",-1,"1","plant U-box 54 [Source:NCBI gene (formerly Entrezgene);Acc:839251]",246262,248440,248440,600,"Pair_9"
"AT1G01690",1,"1","putative recombination initiation defects 3 [Source:NCBI gene (formerly Entrezgene);Acc:839243]",249041,252522,249041,NA,"Pair_9"
"AT1G01740",-1,"1","kinase with tetratricopeptide repeat domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839253]",272111,274930,274930,257,"Pair_10"
"AT1G01750",1,"1","actin depolymerizing factor 11 [Source:NCBI gene (formerly Entrezgene);Acc:839281]",275188,276310,275188,NA,"Pair_10"
"AT1G01880",-1,"1","5'-3' exonuclease family protein [Source:NCBI gene (formerly Entrezgene);Acc:837373]",306467,309541,309541,627,"Pair_11"
"AT1G01900",1,"1","subtilase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839318]",310169,313130,310169,NA,"Pair_11"
"AT1G01960",-1,"1","SEC7-like guanine nucleotide exchange family protein [Source:NCBI gene (formerly Entrezgene);Acc:839301]",330588,337912,337912,328,"Pair_12"
"AT1G01970",1,"1","Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839299]",338241,340088,338241,NA,"Pair_12"
"AT1G02140",-1,"1","mago nashi family protein [Source:NCBI gene (formerly Entrezgene);Acc:837560]",403100,404456,404456,143,"Pair_13"
"AT1G02145",1,"1","homolog of asparagine-linked glycosylation 12 [Source:NCBI gene (formerly Entrezgene);Acc:5007658]",404600,408619,404600,NA,"Pair_13"
"AT1G02180",-1,"1","ferredoxin-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839543]",413522,414649,414649,424,"Pair_14"
"AT1G02190",1,"1","Fatty acid hydroxylase superfamily [Source:NCBI gene (formerly Entrezgene);Acc:839541]",415074,418027,415074,NA,"Pair_14"
"AT1G02290",-1,"1","",450461,452743,452743,363,"Pair_15"
"AT1G02300",1,"1","Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839576]",453107,455519,453107,NA,"Pair_15"
"AT1G02310",-1,"1","Glycosyl hydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839444]",458133,460831,460831,996,"Pair_16"
"AT1G02320",1,"1","",461828,461974,461828,NA,"Pair_16"
"AT1G02405",-1,"1","proline-rich family protein [Source:NCBI gene (formerly Entrezgene);Acc:837769]",489874,490627,490627,232,"Pair_17"
"AT1G02410",1,"1","cytochrome c oxidase assembly protein CtaG / Cox11 family [Source:NCBI gene (formerly Entrezgene);Acc:839364]",490860,492979,490860,NA,"Pair_17"
"AT1G02540",-1,"1","",534827,535699,535699,783,"Pair_18"
"AT1G02550",1,"1","Plant invertase/pectin methylesterase inhibitor superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837879]",536483,537211,536483,NA,"Pair_18"
"AT1G02610",-1,"1","RING/FYVE/PHD zinc finger superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:837915]",553019,556152,556152,939,"Pair_19"
"AT1G02620",1,"1","Ras-related small GTP-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:839269]",557092,558774,557092,NA,"Pair_19"
"AT1G02660",-1,"1","alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839544]",571826,575085,575085,836,"Pair_20"
"AT1G02670",1,"1","P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839532]",575922,580532,575922,NA,"Pair_20"
"AT1G02740",-1,"1","MRG family protein [Source:NCBI gene (formerly Entrezgene);Acc:839455]",599330,602199,602199,289,"Pair_21"
"AT1G02750",1,"1","Drought-responsive family protein [Source:NCBI gene (formerly Entrezgene);Acc:839432]",602489,604387,602489,NA,"Pair_21"
"AT1G02965",-1,"1","",671661,672814,672814,491,"Pair_22"
"AT1G02970",1,"1","WEE1-like kinase [Source:NCBI gene (formerly Entrezgene);Acc:839453]",673306,676419,673306,NA,"Pair_22"
"AT1G03000",-1,"1","peroxin 6 [Source:NCBI gene (formerly Entrezgene);Acc:839315]",687795,692660,692660,529,"Pair_23"
"AT1G03010",1,"1","Phototropic-responsive NPH3 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839556]",693190,696504,693190,NA,"Pair_23"
"AT1G03040",-1,"1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839446]",703847,706689,706689,795,"Pair_24"
"AT1G03050",1,"1","ENTH/ANTH/VHS superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839416]",707485,710041,707485,NA,"Pair_24"
"AT1G03100",-1,"1","Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839573]",743885,746701,746701,495,"Pair_25"
