"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"Zm00001eb000750",-1,"1","Zm00001e100089",2875398,2880118,2880118,102,"Pair_1"
"Zm00001eb000740",1,"1","Zm00001e000079",2874505,2883698,2880221,NA,"Pair_1"
"Zm00001eb000980",-1,"1","Zm00001e000101",3368388,3369418,3369418,662,"Pair_2"
"Zm00001eb000990",1,"1","Zm00001e000102",3370081,3371465,3370081,NA,"Pair_2"
"Zm00001eb001420",-1,"1","Zm00001e100119",4169766,4173139,4173139,666,"Pair_3"
"Zm00001eb001430",1,"1","Zm00001e000142",4173806,4249156,4173806,NA,"Pair_3"
"Zm00001eb002860",-1,"1","Zm00001e000295",7988607,7990762,7990762,182,"Pair_4"
"Zm00001eb002870",1,"1","Zm00001e000296",7990945,7991778,7990945,NA,"Pair_4"
"Zm00001eb003370",-1,"1","Zm00001e100276",9014035,9014807,9014807,764,"Pair_5"
"Zm00001eb003380",1,"1","Zm00001e100278",9015572,9035686,9015572,NA,"Pair_5"
"Zm00001eb004340",-1,"1","Zm00001e000439",12071464,12078408,12076864,155,"Pair_6"
"Zm00001eb004350",1,"1","Zm00001e100372",12077020,12077608,12077020,NA,"Pair_6"
"Zm00001eb004470",-1,"1","Zm00001e000449",12338113,12339599,12339599,319,"Pair_7"
"Zm00001eb004480",1,"1","Zm00001e000450",12339919,12341874,12339919,NA,"Pair_7"
"Zm00001eb005220",-1,"1","Zm00001e000512",14501292,14506675,14506675,313,"Pair_8"
"Zm00001eb005230",1,"1","Zm00001e000513",14506989,14511079,14506989,NA,"Pair_8"
"Zm00001eb005360",-1,"1","Zm00001e000524",14907361,14909218,14908500,147,"Pair_9"
"Zm00001eb005370",1,"1","Zm00001e000525",14908325,14914051,14908648,NA,"Pair_9"
"Zm00001eb005660",-1,"1","Zm00001e000551",15902116,15905229,15905229,908,"Pair_10"
"Zm00001eb005670",1,"1","Zm00001e000552",15906138,15912356,15906138,NA,"Pair_10"
"Zm00001eb006090",-1,"1","Zm00001e000601",17430553,17431417,17431417,353,"Pair_11"
"Zm00001eb006080",1,"1","Zm00001e000600",17428770,17448305,17431771,NA,"Pair_11"
"Zm00001eb006540",-1,"1","Zm00001e000642",18390745,18398712,18398712,109,"Pair_12"
"Zm00001eb006550",1,"1","Zm00001e000643",18398507,18402067,18398822,NA,"Pair_12"
"Zm00001eb007120",-1,"1","Zm00001e000705",21036450,21037301,21037301,672,"Pair_13"
"Zm00001eb007130",1,"1","Zm00001e000706",21037974,21051410,21037974,NA,"Pair_13"
"Zm00001eb007270",-1,"1","Zm00001e000725",21625306,21627313,21627313,437,"Pair_14"
"Zm00001eb007280",1,"1","Zm00001e000726",21627751,21630805,21627751,NA,"Pair_14"
"Zm00001eb007720",-1,"1","Zm00001e100702.m1",22803515,22811308,22811308,787,"Pair_15"
"Zm00001eb007730",1,"1","Zm00001e000756",22812096,22816226,22812096,NA,"Pair_15"
"Zm00001eb008420",-1,"1","Zm00001e000823",25502795,25505590,25505590,709,"Pair_16"
"Zm00001eb008430",1,"1","Zm00001e000824",25506300,25509862,25506300,NA,"Pair_16"
"Zm00001eb008850",-1,"1","Zm00001e000863",27166296,27172398,27172398,604,"Pair_17"
"Zm00001eb008860",1,"1","Zm00001e100813",27173003,27173739,27173003,NA,"Pair_17"
"Zm00001eb009920",-1,"1","Zm00001e000965",31200621,31205517,31205517,589,"Pair_18"
"Zm00001eb009930",1,"1","Zm00001e000966",31206107,31207875,31206107,NA,"Pair_18"
"Zm00001eb010590",-1,"1","Zm00001e001033",33799626,33805409,33805409,620,"Pair_19"
"Zm00001eb010600",1,"1","Zm00001e001034",33806030,33814007,33806030,NA,"Pair_19"
"Zm00001eb010800",-1,"1","Zm00001e001057",34591841,34596190,34596190,233,"Pair_20"
"Zm00001eb010810",1,"1","Zm00001e001058",34596424,34605534,34596424,NA,"Pair_20"
"Zm00001eb012020",-1,"1","Zm00001e001188",39038375,39041664,39040637,455,"Pair_21"
"Zm00001eb012030",1,"1","Zm00001e101124",39041093,39041410,39041093,NA,"Pair_21"
"Zm00001eb012410",-1,"1","Zm00001e001224",40736472,40739855,40739855,879,"Pair_22"
"Zm00001eb012430",1,"1","Zm00001e001226",40740735,40745872,40740735,NA,"Pair_22"
"Zm00001eb013670",-1,"1","Zm00001e001341",45775586,45778291,45778291,305,"Pair_23"
"Zm00001eb013680",1,"1","Zm00001e001342",45778597,45780311,45778597,NA,"Pair_23"
"Zm00001eb013740",-1,"1","Zm00001e001348",45965397,45966925,45966925,327,"Pair_24"
"Zm00001eb013750",1,"1","Zm00001e001349",45967253,45970034,45967253,NA,"Pair_24"
"Zm00001eb014610",-1,"1","Zm00001e101397",49017592,49021354,49021354,846,"Pair_25"
"Zm00001eb014620",1,"1","Zm00001e001433",49022201,49023276,49022201,NA,"Pair_25"
"Zm00001eb015470",-1,"1","Zm00001e001525",52914855,52920619,52920619,203,"Pair_26"
"Zm00001eb015480",1,"1","Zm00001e101484",52920823,52921041,52920823,NA,"Pair_26"
"Zm00001eb015830",-1,"1","Zm00001e001559",54896098,54898165,54898165,671,"Pair_27"
"Zm00001eb015840",1,"1","Zm00001e001560",54898837,54929771,54898837,NA,"Pair_27"
"Zm00001eb016050",-1,"1","Zm00001e001583",56239485,56241884,56241884,206,"Pair_28"
"Zm00001eb016060",1,"1","Zm00001e101568",56242091,56243298,56242091,NA,"Pair_28"
"Zm00001eb016590",-1,"1","Zm00001e001636",58422945,58427956,58427956,113,"Pair_29"
"Zm00001eb016600",1,"1","Zm00001e001637",58428070,58430502,58428070,NA,"Pair_29"
"Zm00001eb017240",-1,"1","Zm00001e001703",61753990,61756097,61756097,744,"Pair_30"
"Zm00001eb017260",1,"1","Zm00001e001705",61756842,61764779,61756842,NA,"Pair_30"
"Zm00001eb017460",-1,"1","Zm00001e001724",62469378,62479884,62479884,763,"Pair_31"
"Zm00001eb017470",1,"1","Zm00001e001725",62480648,62482167,62480648,NA,"Pair_31"
"Zm00001eb018120",-1,"1","Zm00001e001808",64755691,64760725,64760725,638,"Pair_32"
"Zm00001eb018130",1,"1","Zm00001e101771",64761364,64763409,64761364,NA,"Pair_32"
