"Gene_ID","Strand","Chromosome","Gene_Description","Gene_Start","Gene_End","TSS","Distance","PairID"
"AVESA.00001b.r3.1Ag0000079",-1,"1A","",8934856,8938174,8938174,163,"Pair_1"
"AVESA.00001b.r3.1Ag0000080",1,"1A","",8938338,8941099,8938338,NA,"Pair_1"
"AVESA.00001b.r3.1Ag0000152",-1,"1A","",17703917,17715225,17715225,690,"Pair_2"
"AVESA.00001b.r3.1Ag0000153",1,"1A","",17715916,17722963,17715916,NA,"Pair_2"
"AVESA.00001b.r3.1Ag0000291",-1,"1A","",60216266,60224563,60224563,119,"Pair_3"
"AVESA.00001b.r3.1Ag0000292",1,"1A","",60224683,60228432,60224683,NA,"Pair_3"
"AVESA.00001b.r3.1Ag0000532",-1,"1A","",186038115,186042865,186042865,656,"Pair_4"
"AVESA.00001b.r3.1Ag0000533",1,"1A","",186043522,186050808,186043522,NA,"Pair_4"
"AVESA.00001b.r3.1Ag0000603",-1,"1A","",217395576,217401576,217400571,205,"Pair_5"
"AVESA.00001b.r3.1Ag0000604",1,"1A","",217400777,217404105,217400777,NA,"Pair_5"
"AVESA.00001b.r3.1Ag0000691",-1,"1A","",232968226,232973848,232973848,305,"Pair_6"
"AVESA.00001b.r3.1Ag0000692",1,"1A","",232974154,232981925,232974154,NA,"Pair_6"
"AVESA.00001b.r3.1Ag0000860",-1,"1A","",258419127,258424027,258424027,962,"Pair_7"
"AVESA.00001b.r3.1Ag0000861",1,"1A","",258424990,258429382,258424990,NA,"Pair_7"
"AVESA.00001b.r3.1Ag0000947",-1,"1A","",275498157,275504159,275504159,498,"Pair_8"
"AVESA.00001b.r3.1Ag0000948",1,"1A","",275504658,275507579,275504658,NA,"Pair_8"
"AVESA.00001b.r3.1Ag0000949",-1,"1A","",275581677,275586143,275586143,116,"Pair_9"
"AVESA.00001b.r3.1Ag0000950",1,"1A","",275586260,275591661,275586260,NA,"Pair_9"
"AVESA.00001b.r3.1Ag0000980",-1,"1A","",278273150,278276810,278276810,215,"Pair_10"
"AVESA.00001b.r3.1Ag0000981",1,"1A","",278277026,278279996,278277026,NA,"Pair_10"
"AVESA.00001b.r3.1Ag0001084",-1,"1A","",288560022,288566233,288566233,129,"Pair_11"
