Gene stable ID,Triticum aestivum gene stable ID,"Triticum aestivum orthology confidence [0 low, 1 high]"
Os01g0100300,TraesCS6D02G387700,0
Os01g0100300,TraesCS6A02G404500,0
Os01g0100300,TraesCS6B02G448800,0
Os01g0100400,TraesCS3B02G101500,0
Os01g0100400,TraesCS3A02G085900,0
Os01g0100400,TraesCS3D02G086400,0
Os01g0100400,TraesCS3B02G101200,0
Os01g0100650,,
Os01g0100700,TraesCS3D02G085600,0
Os01g0100700,TraesCS3A02G085600,0
Os01g0100700,TraesCS3B02G100800,0
Os01g0103600,,
Os01g0103700,,
Os01g0104000,TraesCS3B02G093800,0
Os01g0104000,TraesCS3A02G078700,0
Os01g0104000,TraesCS3D02G079200,0
Os01g0104100,TraesCS3A02G078500,0
Os01g0104100,TraesCS3B02G093400,0
Os01g0104100,TraesCS3D02G079000,0
Os01g0109432,,
Os01g0109500,,
Os01g0113200,TraesCSU02G076100,0
Os01g0113300,TraesCS3A02G013000,1
Os01g0113300,TraesCS3D02G011800,0
Os01g0113300,TraesCS3A02G013400,1
Os01g0113300,TraesCS3B02G015500,1
Os01g0113300,TraesCSU02G167900,1
Os01g0113300,TraesCS3D02G011400,1
Os01g0113300,TraesCS3B02G016300,1
Os01g0113400,,
Os01g0113650,TraesCS3A02G064400,0
Os01g0113650,TraesCS3B02G077000,0
Os01g0113650,TraesCS3A02G014700,0
Os01g0113650,TraesCS3A02G015300,0
Os01g0113650,TraesCS3D02G062600,0
Os01g0113650,TraesCS2D02G419700,0
Os01g0113650,TraesCS3B02G079400,1
Os01g0113650,TraesCS3D02G012800,0
Os01g0113650,TraesCS3D02G064800,0
Os01g0113650,TraesCS3A02G063700,0
Os01g0113650,TraesCSU02G166600,0
Os01g0113650,TraesCS3D02G062500,0
Os01g0113650,TraesCS3D02G012900,1
Os01g0113650,TraesCS3D02G064700,0
Os01g0113650,TraesCS3A02G064300,0
Os01g0113650,TraesCS3A02G016100,0
Os01g0113650,TraesCSU02G045100,0
Os01g0113650,TraesCSU02G045400,1
Os01g0113650,TraesCS3A02G063800,0
Os01g0113650,TraesCS3D02G063800,0
Os01g0113650,TraesCS2D02G419800,0
Os01g0113650,TraesCSU02G045500,0
Os01g0113650,TraesCS3D02G013600,0
Os01g0113650,TraesCS3A02G016300,0
Os01g0113650,TraesCS3A02G015100,0
Os01g0113650,TraesCS3B02G076900,0
Os01g0113700,,
Os01g0113800,,
Os01g0114100,,
Os01g0114200,,
Os01g0114300,,
Os01g0114402,,
Os01g0115566,,
Os01g0115600,,
Os01g0115800,,
Os01g0115900,TraesCS3D02G014200,0
Os01g0115900,TraesCSU02G042800,0
Os01g0116400,,
Os01g0116900,TraesCS5B02G391900,0
Os01g0116900,TraesCS5D02G396800,0
Os01g0116900,TraesCS2B02G558600,0
Os01g0116900,TraesCS2D02G530900,0
Os01g0116900,TraesCS2A02G528000,0
Os01g0117600,,
Os01g0117700,TraesCS5B02G391900,0
Os01g0117700,TraesCS5D02G396800,0
Os01g0117700,TraesCS2B02G558600,0
Os01g0117700,TraesCS2D02G530900,0
Os01g0117700,TraesCS2A02G528000,0
Os01g0125700,TraesCS3D02G031500,0
Os01g0125800,TraesCS3D02G031900,0
Os01g0125800,TraesCS3B02G034400,0
Os01g0125800,TraesCS3A02G047800,0
Os01g0127300,TraesCS3B02G035600,0
Os01g0127300,TraesCS3D02G032700,0
Os01g0127300,TraesCS3A02G047200,0
Os01g0127400,TraesCS3B02G035900,0
Os01g0127400,TraesCS3A02G046900,0
Os01g0127400,TraesCS3D02G033000,0
Os01g0128700,,
Os01g0128800,TraesCS3B02G040000,0
Os01g0128800,TraesCS3D02G037200,0
