Requested ID,Matched ID(s),Releases,Condition
Traes_6AS_26672671B,TraesCS1B02G378700,109: TraesCS1B02G378700.193: TraesCS1B02G378700.1,T1down
Traes_6AS_26672671B,TraesCS1D02G366600,109: TraesCS1D02G366600.193: TraesCS1D02G366600.1,T1down
Traes_6AS_26672671B,TraesCS1B02G376700,109: TraesCS1B02G376700.193: TraesCS1B02G376700.1,T1down
Traes_7BS_D75B13E9B,TraesCS7A02G150900,109: TraesCS7A02G150900.193: TraesCS7A02G150900.1,T1down
Traes_7BS_D75B13E9B,TraesCS7B02G054900,109: TraesCS7B02G054900.193: TraesCS7B02G054900.1,T1down
Traes_7BS_D75B13E9B,TraesCS7D02G152800,109: TraesCS7D02G152800.193: TraesCS7D02G152800.1,T1down
Traes_6DL_9F29527A0,TraesCS6D02G335900,109: TraesCS6D02G335900.193: TraesCS6D02G335900.1,T1down
Traes_6DL_9F29527A0,TraesCS6B02G386200,109: TraesCS6B02G386200.193: TraesCS6B02G386200.1,T1down
Traes_6DL_9F29527A0,TraesCS6A02G353600,109: TraesCS6A02G353600.193: TraesCS6A02G353600.1,T1down
Traes_1DL_7A2A028A3,TraesCS1D02G259500,109: TraesCS1D02G259500.193: TraesCS1D02G259500.1,T1down
Traes_1DL_7A2A028A3,TraesCS1A02G259700,109: TraesCS1A02G259700.193: TraesCS1A02G259700.1,T1down
Traes_1DL_7A2A028A3,TraesCS1B02G270000,109: TraesCS1B02G270000.193: TraesCS1B02G270000.1,T1down
Traes_7AL_3A910D814,TraesCS7D02G352900,109: TraesCS7D02G352900.193: TraesCS7D02G352900.1,T1down
Traes_7AL_3A910D814,TraesCS7A02G370200,109: TraesCS7A02G370200.193: TraesCS7A02G370200.1,T1down
Traes_7AL_3A910D814,TraesCS7B02G258300,109: TraesCS7B02G258300.193: TraesCS7B02G258300.1,T1down
Traes_4AS_8D6311711,TraesCS4A02G119800,109: TraesCS4A02G119800.193: TraesCS4A02G119800.1,T1down
Traes_4AS_8D6311711,TraesCS4D02G186200,109: TraesCS4D02G186200.193: TraesCS4D02G186200.1,T1down
Traes_1DS_D46002062,TraesCS1D02G107400,109: TraesCS1D02G107400.193: TraesCS1D02G107400.1,T1down
Traes_1DS_D46002062,TraesCS1B02G124900,109: TraesCS1B02G124900.193: TraesCS1B02G124900.1,T1down
Traes_1DS_D46002062,TraesCS1A02G099500,109: TraesCS1A02G099500.193: TraesCS1A02G099500.1,T1down
Traes_1AL_5FFFBAB47,TraesCS1A02G270800,109: TraesCS1A02G270800.193: TraesCS1A02G270800.1,T1down
Traes_1AL_5FFFBAB47,TraesCS1D02G271000,109: TraesCS1D02G271000.193: TraesCS1D02G271000.1,T1down
Traes_1AL_5FFFBAB47,TraesCS1B02G281100,109: TraesCS1B02G281100.193: TraesCS1B02G281100.1,T1down
Traes_3DL_FB69A670E,TraesCS3B02G370400,109: TraesCS3B02G370400.193: TraesCS3B02G370400.1,T1down
Traes_3DL_FB69A670E,TraesCS3D02G332300,109: TraesCS3D02G332300.193: TraesCS3D02G332300.1,T1down
Traes_3DL_FB69A670E,TraesCS3A02G338700,109: TraesCS3A02G338700.193: TraesCS3A02G338700.1,T1down
Traes_1BS_B734EDEA7,TraesCS1D02G112500,109: TraesCS1D02G112500.193: TraesCS1D02G112500.1,T1down
Traes_1BS_B734EDEA7,TraesCS1A02G111000,109: TraesCS1A02G111000.193: TraesCS1A02G111000.1,T1down
Traes_1BS_B734EDEA7,TraesCS1B02G128800,109: TraesCS1B02G128800.193: TraesCS1B02G128800.1,T1down
Traes_6AS_BC0BD9D84,TraesCS2B02G436500,109: TraesCS2B02G436500.193: TraesCS2B02G436500.1,T1down
Traes_6AS_BC0BD9D84,TraesCS1B02G378500,109: TraesCS1B02G378500.193: TraesCS1B02G378500.1,T1down
Traes_6AS_BC0BD9D84,TraesCS5D02G354700,109: TraesCS5D02G354700.193: TraesCS5D02G354700.1,T1down
Traes_7AL_649E6547F,TraesCS7D02G309400,109: TraesCS7D02G309400.193: TraesCS7D02G309400.1,T1down
Traes_7AL_649E6547F,TraesCS7B02G213000,109: TraesCS7B02G213000.193: TraesCS7B02G213000.1,T1down
Traes_7AL_649E6547F,TraesCS7A02G313000,109: TraesCS7A02G313000.193: TraesCS7A02G313000.1,T1down
Traes_2AL_42ECF9B7C,TraesCS2D02G521400,109: TraesCS2D02G521400.193: TraesCS2D02G521400.1,T1down
Traes_2AL_42ECF9B7C,TraesCS2A02G520200,109: TraesCS2A02G520200.193: TraesCS2A02G520200.1,T1down
Traes_2AL_42ECF9B7C,TraesCS2B02G549400,109: TraesCS2B02G549400.193: TraesCS2B02G549400.1,T1down
