Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
A01p054220.1_BraROA,-1,A01,,30548026,30550338,30550338
SC305g500010.1_BraROA,1,JADBGQ010000150.1,,7444,8240,7444
A09p034540.1_BraROA,1,A09,,20923002,20928388,20923002
A01g508010.1_BraROA,1,A01,,22628802,22630467,22628802
A06p000880.1_BraROA,1,A06,,73870,74244,73870
A03p068350.1_BraROA,1,A03,,29933171,29936863,29933171
A06p015470.1_BraROA,1,A06,,6941329,6942775,6941329
A02g511750.1_BraROA,-1,A02,,31724504,31725629,31725629
A05p015560.1_BraROA,1,A05,,6933257,6935167,6933257
A02p058160.1_BraROA,-1,A02,,34955409,34957647,34957647
A06p009030.1_BraROA,1,A06,,3165150,3165956,3165150
A02g504630.1_BraROA,-1,A02,,15026216,15027361,15027361
A04p039490.1_BraROA,1,A04,,22276257,22278413,22276257
A09p062150.1_BraROA,1,A09,,50966050,50973653,50966050
A08p001810.1_BraROA,-1,A08,,1113667,1115310,1115310
A02p003780.1_BraROA,-1,A02,,1620217,1621357,1621357
A02g506770.1_BraROA,-1,A02,,18937888,18945249,18945249
A08g508480.1_BraROA,1,A08,,15554965,15556245,15554965
A09g511320.1_BraROA,1,A09,,33922262,33923546,33922262
A03p031100.1_BraROA,-1,A03,,13092496,13096872,13096872
A01p019450.1_BraROA,-1,A01,,9430815,9431054,9431054
A05p045130.1_BraROA,-1,A05,,27023153,27023766,27023766
A09p032270.1_BraROA,-1,A09,,19601987,19604960,19604960
A05g503990.1_BraROA,-1,A05,,11188062,11195099,11195099
A07p046070.1_BraROA,1,A07,,24925742,24938620,24925742
A04p029770.1_BraROA,1,A04,,17768953,17774083,17768953
A05p011410.1_BraROA,1,A05,OFP15 [Source:Projected from Arabidopsis thaliana (AT2G36050) UniProtKB/TrEMBL;Acc:A0A178VSX7],4869826,4870638,4869826
A08p000320.1_BraROA,-1,A08,,209113,211070,211070
A10p031680.1_BraROA,1,A10,,18887305,18889609,18887305
A02g511880.1_BraROA,-1,A02,,31974522,31975521,31975521
A09p022960.1_BraROA,1,A09,,12655426,12656725,12655426
A04p000490.1_BraROA,1,A04,,291707,294113,291707
A05p009580.1_BraROA,1,A05,,4008885,4009874,4008885
A09p052360.1_BraROA,1,A09,,45893369,45896910,45893369
A01p015850.1_BraROA,1,A01,,7781350,7783309,7781350
A07p049690.1_BraROA,-1,A07,,26401545,26403147,26403147
A02g511210.1_BraROA,1,A02,,29727886,29728252,29727886
A02p006670.1_BraROA,-1,A02,,2839528,2844449,2844449
A06p049850.1_BraROA,1,A06,,26278865,26279107,26278865
A02g505460.1_BraROA,-1,A02,,16392755,16399242,16399242
A01g509400.1_BraROA,1,A01,,25410519,25410950,25410519
A03p043160.1_BraROA,1,A03,,18021666,18024110,18021666
A07p005900.1_BraROA,1,A07,,1887260,1889099,1887260
A09p004070.1_BraROA,-1,A09,,2389371,2390288,2390288
A10p003710.1_BraROA,-1,A10,,1848146,1849859,1849859
A04g507090.1_BraROA,-1,A04,,16943498,16944848,16944848
A10p017370.1_BraROA,-1,A10,,2482366,2484558,2484558
A04p033560.1_BraROA,1,A04,,19513962,19516478,19513962
A01p007380.1_BraROA,-1,A01,Calmodulin-binding protein 60 F [Source:Projected from Arabidopsis thaliana (AT4G31000) UniProtKB/Swiss-Prot;Acc:F4JR57],3652490,3656612,3656612
A09p058990.1_BraROA,-1,A09,,49499179,49500137,49500137
A06p020470.1_BraROA,1,A06,,10019505,10020602,10019505
A04p019230.1_BraROA,-1,A04,,11359123,11359500,11359500
A05p021750.1_BraROA,1,A05,,10347293,10347993,10347293
A06g506840.1_BraROA,-1,A06,,19021368,19023086,19023086
A06g500970.1_BraROA,1,A06,,3723057,3723716,3723057
